,v,b0,b1,noise,a,u,z0.0,z0.1,z0.2,z1.0,z1.1,z1.2,t,pmixturecoef,rate,bic,subj_idx
0,1.2297942860236541,0.28237899505380454,-0.09001349517116351,1.0,2.8609999204373353,0.4255446121116385,0.44937495731726007,0.4612275644065102,0.45134018381832736,0.4609360937058623,0.4360409933383039,0.40658910196125875,0.8215925687415578,0.01,1.0,805.965287760542,0
1,0.7897223267029113,0.28702952282078203,-0.30890224881692685,1.0,1.8349999733654412,0.4138123639701396,0.49541275110101557,0.49198338450531354,0.5736603218208199,0.47121943460440624,0.49677187955616625,0.4247489654940543,0.7185334922330663,0.01,1.0,755.651328016091,1
2,1.027175379451983,0.4478519198246023,-0.03966000291122335,1.0,2.1969999229967816,0.40122941309106247,0.44474343127079446,0.44664813075562615,0.44558845566142996,0.4430496037099737,0.4577112024675195,0.4391582364091965,0.7062263028046125,0.01,1.0,835.9266413493124,2
3,1.049696103585416,-0.14019208778435624,-0.4224072470039788,1.0,2.401999927287519,0.4007931598360362,0.6018236259332803,0.6045194811253658,0.6122313145913834,0.5515400673648279,0.5934923552207606,0.5769892155570786,1.0653622245104397,0.01,1.0,790.6004307524945,3
4,0.7885837240297406,0.04225528931605327,0.07823368379669682,1.0,2.381142918460748,0.5610594038294021,0.5498286952047146,0.5337996982026494,0.5192793785077179,0.5006784589817127,0.48144148804395137,0.5176732037366114,0.6785222760289242,0.01,1.0,1443.1280269869383,4
5,0.980119843285071,0.3035476478573861,0.494791186324718,1.0,1.8919998909240947,0.693013957222754,0.4776058165841649,0.4924366472991068,0.5065423902104249,0.3591830858815359,0.3550529807394103,0.3402388449500562,1.1498279328824998,0.01,1.0,1641.3066140704614,5
6,1.0920312046152008,0.12606590247021487,-0.693482390581785,1.0,1.9777265919778435,0.4104453935631547,0.5218695140863581,0.5113749937430634,0.5213315230265799,0.5667157826363838,0.5430082161269015,0.589890728643202,1.0063681314297102,0.01,1.0,785.2664944079661,6
7,0.9974530515483107,0.6950378625382148,-0.3660351699172243,1.0,1.6410755377188837,0.26483227833943346,0.43755373846898027,0.4346815633943247,0.43904008372169656,0.5185010445070433,0.5048376663151593,0.513084931070891,1.3694338460516933,0.01,1.0,255.90087045678902,7
8,1.3078858819968868,0.3021774443750606,-0.6867117056537513,1.0,1.7409998395250272,0.39784752988076577,0.5294841408503072,0.5029299945513921,0.510687495680903,0.5847320503525526,0.6137725663309659,0.616075669668199,1.1374719886049922,0.01,1.0,322.35341781657894,8
9,0.9761279581036382,0.08954317222384933,-0.49089490238180045,1.0,2.3155963773880033,0.386091830606647,0.546748375122405,0.5409511896734418,0.5572986357820179,0.5126708137738405,0.5328711642482665,0.5436085515484909,0.9986882041794002,0.01,1.0,773.5521397752213,9
10,1.0796766240240723,1.4616176228730156,0.282491036829616,1.0,1.934999961384799,0.42454971376242717,0.36494029034723624,0.3771886969183738,0.4112983273881187,0.4677799880271294,0.4218283634364108,0.38691473608411014,0.6305272946170909,0.01,1.0,554.135154106819,10
11,0.6350496552585416,0.00801111875924132,-1.4212661400100868,1.0,2.129546663779037,0.36304883461872706,0.5697630385890918,0.5635721727108893,0.6050838427394697,0.5790385172987587,0.5555454023183788,0.5963116644990779,0.7329150080690369,0.01,1.0,780.0568436245673,11
12,0.48296388337136026,1.4963977894869658,-0.15713533403622393,1.0,1.7789999738370474,0.3185278616033641,0.44438630313697147,0.4371512873795965,0.38419804930775653,0.4157513242932636,0.44107001484491126,0.4310177849801091,0.5091655872931878,0.01,1.0,502.01603118390346,12
13,0.9411529197637596,0.7253640180032583,-0.5709065487493065,1.0,2.0801083725634832,0.19439708674584644,0.4451411467001946,0.44827951645592573,0.4441259683679128,0.5256517463615066,0.520387753726326,0.515271418376503,0.7488273005917871,0.01,1.0,254.71729242199115,13
14,0.584215723430199,0.45508403025188104,-0.05832347132583404,1.0,1.4752287814208083,1.1538375646684518,0.6105304010611194,0.564436760471245,0.6219400646673482,0.38545925820108823,0.2828075546030595,0.364847053090096,0.4713081432167703,0.01,1.0,1302.626620123477,14
