,subj_idx,variable,value,bin
0,0,v,4.741703642350096,
1,1,v,0.8638620578856123,
2,2,v,4.797482362517423,
3,3,v,0.8780664859701219,
4,4,v,0.6242756933476756,
5,5,v,0.9164113894782158,
6,6,v,1.2355516724721027,
7,7,v,1.0668369690510227,
8,8,v,5.0,
9,9,v,0.9764862536127381,
10,10,v,1.270783725361461,
11,11,v,0.5962454078015886,
12,12,v,0.6811444037248631,
13,13,v,0.7638681863001855,
14,14,v,0.7079855298184257,
15,0,b,0.41946847594936365,
16,1,b,0.26378415525258764,
17,2,b,0.7287352931906118,
18,3,b,0.07719710392751766,
19,4,b,0.14456413631749765,
20,5,b,0.19136097656881246,
21,6,b,0.14967980953063398,
22,7,b,0.6589990122379141,
23,8,b,0.120724617729348,
24,9,b,0.19707453113127715,
25,10,b,1.2452076535239542,
26,11,b,0.16582234389430406,
27,12,b,1.3477089975201106,
28,13,b,0.7723924954959438,
29,14,b,0.4024108299223106,
30,0,noise,1.0,
31,1,noise,1.0,
32,2,noise,1.0,
33,3,noise,1.0,
34,4,noise,1.0,
35,5,noise,1.0,
36,6,noise,1.0,
37,7,noise,1.0,
38,8,noise,1.0,
39,9,noise,1.0,
40,10,noise,1.0,
41,11,noise,1.0,
42,12,noise,1.0,
43,13,noise,1.0,
44,14,noise,1.0,
45,0,a,4.639999900224534,
46,1,a,1.8499998755267868,
47,2,a,4.893357813358757,
48,3,a,2.3583719386450213,
49,4,a,3.1266817401620624,
50,5,a,2.5249999964179075,
51,6,a,1.574488475191496,
52,7,a,1.4046318399580509,
53,8,a,4.989999395191078,
54,9,a,2.214291546765159,
55,10,a,2.2949324099218193,
56,11,a,1.9820106513781732,
57,12,a,2.209634264482807,
58,13,a,1.6846525567632828,
59,14,a,1.5260510690522122,
60,0,u,16.368587614855194,
61,1,u,0.43348436172094307,
62,2,u,87.13379088572928,
63,3,u,0.33727099945031114,
64,4,u,0.371462904349535,
65,5,u,0.40509781962975683,
66,6,u,0.5436930367764461,
67,7,u,0.2449056433322383,
68,8,u,1.9221906582691857,
69,9,u,0.25944905949004493,
70,10,u,0.23352851676946784,
71,11,u,0.3811110082034972,
72,12,u,0.23402003298008367,
73,13,u,0.21336151029330352,
74,14,u,1.2457540553772475,
75,0,z,0.4718003480947483,0
76,1,z,0.49593993898584743,0
77,2,z,0.42510333878929396,0
78,3,z,0.5812079997741225,0
79,4,z,0.5492378286351146,0
80,5,z,0.49345678493655093,0
81,6,z,0.5151450248557784,0
82,7,z,0.4394832992064439,0
83,8,z,0.523355804100892,0
84,9,z,0.549417751320302,0
85,10,z,0.42941685365560445,0
86,11,z,0.5417800183088843,0
87,12,z,0.5031563176740207,0
88,13,z,0.4792130575782011,0
89,14,z,0.6429899875209162,0
90,0,z,0.49019310469555877,1
91,1,z,0.48907221435907056,1
92,2,z,0.4364979203009086,1
93,3,z,0.5698970208135795,1
94,4,z,0.5038486339814925,1
95,5,z,0.531517897110617,1
96,6,z,0.5200711986258224,1
97,7,z,0.4399978270756747,1
98,8,z,0.5165411353533276,1
99,9,z,0.5254905465047287,1
100,10,z,0.44604918175605385,1
