,subj_idx,variable,value,bin
0,0,v,1.3708708855947778,
1,1,v,0.7128208397530573,
2,2,v,0.8254539914739727,
3,3,v,4.938361064324713,
4,4,v,1.0975497199877018,
5,5,v,0.975980750400527,
6,6,v,0.9726188780276193,
7,7,v,1.0408021043768474,
8,8,v,0.9721883297020422,
9,9,v,1.0919643697144121,
10,10,v,1.0052814833615393,
11,11,v,0.6769691759928043,
12,12,v,0.30027667886850373,
13,13,v,1.3337007424384137,
14,14,v,0.45802255012986937,
15,0,b,-0.23933055517292484,
16,1,b,-0.22754628427867746,
17,2,b,-0.16497247523385358,
18,3,b,0.8191439428432036,
19,4,b,0.01274582442227246,
20,5,b,0.09766600560665178,
21,6,b,-0.5214912994544674,
22,7,b,-0.3751876713150732,
23,8,b,-0.7864540952317639,
24,9,b,-0.5553136386852137,
25,10,b,0.053071750279926055,
26,11,b,-1.551682036488347,
27,12,b,-0.4660161834764969,
28,13,b,-0.34011804419079716,
29,14,b,-0.32372074840093523,
30,0,noise,1.0,
31,1,noise,1.0,
32,2,noise,1.0,
33,3,noise,1.0,
34,4,noise,1.0,
35,5,noise,1.0,
36,6,noise,1.0,
37,7,noise,1.0,
38,8,noise,1.0,
39,9,noise,1.0,
40,10,noise,1.0,
41,11,noise,1.0,
42,12,noise,1.0,
43,13,noise,1.0,
44,14,noise,1.0,
45,0,a,4.019999985108739,
46,1,a,2.6649999580091985,
47,2,a,1.6709999083719147,
48,3,a,4.5130001446657655,
49,4,a,1.865999719418131,
50,5,a,1.516999993338019,
51,6,a,1.9960029946790265,
52,7,a,2.022999983118758,
53,8,a,1.9421804321306024,
54,9,a,2.084419662647401,
55,10,a,2.0611375007083854,
56,11,a,1.9052186079918887,
57,12,a,1.6429999913949427,
58,13,a,1.8239999998441507,
59,14,a,1.2699246868599354,
60,0,u,0.3375009099714327,0
61,1,u,0.24504408473387446,0
62,2,u,0.5919434321685705,0
63,3,u,19.432951407630707,0
64,4,u,1.100989239145891,0
65,5,u,1.1760216980863287,0
66,6,u,0.42028952993414315,0
67,7,u,0.2905747736914071,0
68,8,u,0.3807305791442346,0
69,9,u,0.6092753874308627,0
70,10,u,0.6613295296973725,0
71,11,u,0.4198357394158023,0
72,12,u,0.2663139962305108,0
73,13,u,0.20517358130617,0
74,14,u,2.2505883372496367,0
75,0,u,0.30028931349823496,1
76,1,u,0.20865433732180072,1
77,2,u,0.5516106956330673,1
78,3,u,15.187463001837255,1
79,4,u,1.061324012960476,1
80,5,u,1.1194504206917368,1
81,6,u,0.336932456428471,1
82,7,u,0.2274723835972491,1
83,8,u,0.4221651127160193,1
84,9,u,0.5637039760741445,1
85,10,u,0.4045151660573314,1
86,11,u,0.3219919577600727,1
87,12,u,0.31768947468884806,1
88,13,u,0.19255461740562874,1
89,14,u,1.587931689775404,1
90,0,u,0.22415365343980018,2
91,1,u,0.17430884066518565,2
92,2,u,0.5645862445630636,2
93,3,u,24.239598015222004,2
94,4,u,0.8770307265808138,2
95,5,u,0.9622308043894553,2
96,6,u,0.3734554542368844,2
97,7,u,0.2060414246330673,2
98,8,u,0.38469151324359707,2
99,9,u,0.626223476189061,2
100,10,u,0.36828960836676217,2
101,11,u,0.2896135107715736,2
102,12,u,0.36900748622460766,2
103,13,u,0.16415262717708198,2
104,14,u,1.8876428276352986,2
105,0,z,0.4814053933941955,
106,1,z,0.4683820336389124,
107,2,z,0.4595665133214938,
108,3,z,0.4653633968972625,
109,4,z,0.503243769523073,
110,5,z,0.39687330984986513,
111,6,z,0.527705164512179,
112,7,z,0.5023141752438471,
113,8,z,0.6029510842386985,
114,9,z,0.5518757789283681,
115,10,z,0.45453519388482394,
116,11,z,0.5704808089243643,
117,12,z,0.48423693136977924,
118,13,z,0.51968981753454,
119,14,z,0.3889688319657213,
120,0,t,0.7135113264022056,
121,1,t,0.6967870469552354,
122,2,t,0.6953139986554653,
123,3,t,0.8356080978313905,
124,4,t,0.7508114878489828,
125,5,t,1.1216661759133157,
126,6,t,1.05854366640962,
127,7,t,1.3495523920426855,
128,8,t,1.0881939404070922,
129,9,t,0.9645469648470665,
130,10,t,0.5586063585095329,
131,11,t,0.8242170332138896,
132,12,t,0.4636747971567593,
133,13,t,0.7555653404678437,
134,14,t,0.4521473348294185,
135,0,pmixturecoef,0.01,
136,1,pmixturecoef,0.01,
137,2,pmixturecoef,0.01,
138,3,pmixturecoef,0.01,
139,4,pmixturecoef,0.01,
140,5,pmixturecoef,0.01,
141,6,pmixturecoef,0.01,
142,7,pmixturecoef,0.01,
143,8,pmixturecoef,0.01,
144,9,pmixturecoef,0.01,
145,10,pmixturecoef,0.01,
146,11,pmixturecoef,0.01,
147,12,pmixturecoef,0.01,
148,13,pmixturecoef,0.01,
149,14,pmixturecoef,0.01,
150,0,rate,1.0,
151,1,rate,1.0,
152,2,rate,1.0,
153,3,rate,1.0,
154,4,rate,1.0,
155,5,rate,1.0,
156,6,rate,1.0,
157,7,rate,1.0,
158,8,rate,1.0,
159,9,rate,1.0,
160,10,rate,1.0,
161,11,rate,1.0,
162,12,rate,1.0,
163,13,rate,1.0,
164,14,rate,1.0,
165,0,bic,226.82442881057568,
166,1,bic,287.1425578394501,
167,2,bic,493.69179035080845,
168,3,bic,469.35798420699865,
169,4,bic,639.2430773907159,
170,5,bic,643.8553737649613,
171,6,bic,372.1821179492233,
172,7,bic,175.8592718949242,
173,8,bic,404.3420467270794,
174,9,bic,469.7596240029598,
175,10,bic,487.321538257354,
176,11,bic,223.27980496404135,
177,12,bic,353.7582641435157,
178,13,bic,-52.05439209870958,
179,14,bic,727.9592388195658,
