,v,b0,b1,b2,b3,b4,noise,a,z,t,pmixturecoef,rate,bic,subj_idx
0,0.5316696621899117,-0.2466803599636569,-0.19542039720811047,-0.10338614875953313,-0.23004813776813107,-0.2329016736682131,1.0,0.8800499015504817,0.5239765255335801,0.637812990380418,0.01,1.0,3170.0007510676464,0
1,0.7847230392995583,-0.09623641077106128,-0.13521030503781414,-0.08712037906941181,0.05553929925225817,-0.2831100227466272,1.0,0.8324211462159825,0.5301913365211077,0.8211577882347509,0.01,1.0,2907.752488712946,1
2,0.9208410195898293,0.046447779272036305,0.17447163280026268,0.12373194674791906,0.014654669339090926,0.14117439342023147,1.0,0.6500290101966562,0.511369875971001,0.5245262566385476,0.01,1.0,1169.49058162369,2
3,0.8439038301174829,0.0683885083282142,0.06934448164528041,0.31059010403708287,0.16894012973802255,0.24448002806895824,1.0,0.7260519497469207,0.5022558354523129,0.8304141294314287,0.01,1.0,2136.073481651881,3
4,0.9047942616984349,-0.13236495284521926,-0.13952972156934698,-0.15866576872643257,-0.1534037099539955,-0.10190689141813669,1.0,0.7560270363380819,0.5143418421233925,0.6802675697878121,0.01,1.0,2320.856504216576,4
5,1.313458934516381,-0.7172939803597512,-0.18054643308693105,-0.75358585768754,-0.41104648391538207,-0.43936694824213646,1.0,0.33787907379375026,0.4791068334890645,0.5458910546082983,0.01,1.0,-1147.0331287834529,5
6,1.0740236583589777,-0.6002462386103355,-0.3418918796085419,-0.22366136800239622,0.02253786542782734,-0.21359240408619184,1.0,0.4880697471184856,0.48911999223474184,0.6838168163174883,0.01,1.0,181.2820443690776,6
7,0.713834160498091,0.06372316433132004,0.2174841427078239,0.3215142161318831,-0.07661046514307954,0.40246082460671306,1.0,0.7610438685072762,0.5527098315433688,0.7613779198923387,0.01,1.0,1527.3749597012616,7
8,0.716633816481579,-0.3919879303025517,-0.26970046521630175,-0.34959386969823064,-0.39089975174847885,-0.2662327318095712,1.0,0.79012683634307,0.5530225665309698,0.5047965453427806,0.01,1.0,2539.879601746291,8
9,0.5624876156607311,0.13611868707552932,0.10686468227021798,0.08747479348546182,0.07208145303191213,0.28617103857354825,1.0,1.1727122974474824,0.4662031625677656,0.8446882481399485,0.01,1.0,4386.4355687135385,9
10,1.1585844356741737,-0.22389783323315038,-0.17848458746134777,-0.4727916030959478,-0.29819758734798807,-0.4633498548081916,1.0,0.495362784340462,0.509251178301389,0.5251329205735099,0.01,1.0,36.881235126686335,10
11,0.7374249860453634,-0.4387310454312887,-0.3734726356351415,-0.26025296707927487,-0.14378466246741084,-0.30334480277687187,1.0,0.7999068384902708,0.5218875806222588,0.706902358650909,0.01,1.0,2657.271186199876,11
12,0.4644559649878481,0.09263159504023011,0.2674035438103934,0.1654237065841979,0.22604043111306307,-0.0027208132660759246,1.0,0.8299799711575055,0.5102774029368947,0.5334686243183869,0.01,1.0,3159.3749046245002,12
13,0.588324214322763,0.3204178982965058,0.08702488841578654,0.32659773801395814,0.2171759837986238,0.08108894553056474,1.0,0.920339278535282,0.4646339876286891,0.43652411160788307,0.01,1.0,3322.18544938734,13
14,0.6733444392917256,-0.018206040393700083,-0.05147824652113203,0.047129891854114925,0.18939773860403333,0.24528036004691078,1.0,0.7465322707242878,0.48954329406890845,0.5103497446974925,0.01,1.0,2296.012049050712,14
15,0.5732745791674251,0.03158878547620091,0.11603677912105503,0.11961275791583774,0.24839722295934377,0.35550957861118193,1.0,1.0403994227878848,0.4681274792613262,0.9089922784767138,0.01,1.0,3783.0970062520073,15
16,0.9073332768151801,0.2639923383020502,0.14867501494192786,0.1423359219758871,0.3253134838186984,0.3456944319783109,1.0,0.8537575447220462,0.5027570437237214,0.776488058721903,0.01,1.0,2149.7482551059697,16
17,0.7983017024962612,-0.3558223048016268,-0.34785583314967256,-0.29815031829307437,-0.18435963686627957,-0.06813282313328924,1.0,0.8152654371915593,0.5431663190126628,0.5534476113154096,0.01,1.0,2404.858772064571,17
18,0.6306705341251114,0.3610263257732466,0.3544262972404355,0.4478886890020533,0.2834422846096015,0.21177806435651333,1.0,0.845319772796365,0.5544312701708798,0.5826991927730668,0.01,1.0,2684.239790316127,18
19,0.6510574062638174,-0.6735022268673356,-0.5471713578523021,-0.4873754871487811,-0.4373120267272121,-0.5720892394532392,1.0,0.9753373234823517,0.5027873030025901,1.2501559342905386,0.01,1.0,3343.4082205947693,19
20,0.5121239572668571,-1.037872082169599,-0.9756616812878565,-0.8913071613735598,-0.6153989224006092,-0.5574661072540821,1.0,0.7974905231685574,0.5963181908190655,0.7891191732164851,0.01,1.0,2709.367288753918,20
21,0.911107850706893,-0.2445484183525702,-0.1657430587510464,0.05347878863344932,-0.20699017622906085,0.03630483041289062,1.0,0.9139073963031312,0.5605333267857353,0.8653601905021435,0.01,1.0,1831.8437577949915,21
22,0.8542359733505692,-0.48305132035517634,-0.28282186066212217,-0.43676617639256404,-0.35393133268183324,-0.2643371659003276,1.0,0.9171795254683153,0.5084607227829138,0.8801474409641432,0.01,1.0,2590.7533693619594,22
23,0.9437178474441845,-0.29386732878887634,-0.17032725304061389,-0.07776769811416674,-0.061616787759408716,-0.25946323654768116,1.0,0.5426296047945769,0.5606578765491833,0.5269680394099296,0.01,1.0,568.4318535906841,23
