,v,b0,b1,noise,a,u0,u1,u2,z0,z1,t,pmixturecoef,rate,bic,subj_idx
0,1.2016727643576817,0.33280078991491435,-0.03547147241576287,1.0,3.0310732279676698,0.5107903853919442,0.43236797806574145,0.36043719502272964,0.4537709758522087,0.4321785379311336,0.7944889663373269,0.01,1.0,783.3634213484055,0
1,0.8047069946923915,0.21850043917034,-0.1930324056647722,1.0,1.8069999929409715,0.4391459067149429,0.45441523723269983,0.34941746909992205,0.5297806408905447,0.4441509813397417,0.7286904125250707,0.01,1.0,741.7683560289476,1
2,1.0099907277668188,0.5104675776180012,-0.10620798008669634,1.0,1.91099990800868,0.5239717960662623,0.4767117022912665,0.5105464226079265,0.43253167773007084,0.4561984543229695,0.7120283685374865,0.01,1.0,822.7859956806863,2
3,1.0399546738645205,-0.1381780305139052,-0.3843356595232811,1.0,2.7071201069154665,0.3378604218896264,0.3413935099985199,0.3174278500394525,0.6036925686685767,0.5684996919825617,1.056881054257635,0.01,1.0,778.4570138364618,3
4,0.7806392361288066,0.10873320329657138,0.04450361225580138,1.0,2.3879998815824734,0.5485039282491028,0.61475938616833,0.5676384451247793,0.5160341517382033,0.4904740644712913,0.6688159784889445,0.01,1.0,1433.1604409857325,4
5,0.8946091063960967,0.21067772105239385,0.21928784477536065,1.0,1.9239997742161998,0.8011407864921855,0.6437647249356481,0.6527840251417271,0.4976039417884275,0.3831676321481442,1.112700671088424,0.01,1.0,1618.4764894697082,5
6,1.0929179361636816,0.21100943608195366,-0.6056519224298129,1.0,1.4504447703505183,0.6717161954759607,0.6590622956860734,0.5932543672544472,0.5219240722950311,0.5397986055546261,1.0625661062951786,0.01,1.0,790.0331458004705,6
7,0.9874997085053759,0.7812738423803303,-0.38611120316052316,1.0,1.9309999352344158,0.26174908220930604,0.2133069549910684,0.1928215118796931,0.4365145347573208,0.5088400902753221,1.3461207701485347,0.01,1.0,222.61142647936504,7
8,1.2965279091072304,0.35400829351617813,-0.6596601978715838,1.0,1.863867447059592,0.3601186412268458,0.358651166904723,0.37241032622775627,0.5051891192506041,0.6002333005873997,1.12321504253511,0.01,1.0,311.66220893112643,8
9,1.017717922012239,0.29037720263198397,-0.46046817058100153,1.0,2.164824569281547,0.4194671550510023,0.43106966075924014,0.4534705561000987,0.5302382349656022,0.5358414254093892,0.9809064307024984,0.01,1.0,759.9871160110288,9
10,1.0992260851536508,1.4392154539206015,0.3589683259455408,1.0,2.4129999647996994,0.4178889963719653,0.3134600491770099,0.2552228020707906,0.4005435765267384,0.4248644104692116,0.6117660183272702,0.01,1.0,530.1876940363906,10
11,0.6219256962650539,0.06427451455353354,-1.6169402238911033,1.0,2.2199999958364964,0.3770522333310313,0.35621296418737564,0.31620334163700764,0.5683491581530017,0.5966834309417457,0.7219908293852034,0.01,1.0,761.6126816439739,11
12,0.466906907032528,1.3580827959651265,-0.06779486979027749,1.0,1.6213864659864097,0.2862960510687902,0.33791846855501007,0.43440323905357126,0.43003743904367936,0.41986664547666086,0.5155801463060189,0.01,1.0,484.1968537821194,12
13,0.9129034178293245,0.6457988473778287,-0.7242408307197051,1.0,1.9838720085551786,0.21483499189026922,0.19951815402679252,0.19355006103838335,0.4535112870455483,0.5297433075298177,0.7502776129220285,0.01,1.0,237.36094597858926,13
14,0.5422903963676795,0.7435808883363837,-0.4050724029839181,1.0,1.1839515884826382,3.5876869715407533,3.0552150582880326,1.8858949526908315,0.5320603228991367,0.4074140155436662,0.4772574148303239,0.01,1.0,1325.1758509175727,14
