,v,b,noise,a,z0,z1,z2,z3,z4,t,pmixturecoef,rate,bic,subj_idx
0,0.5353448536400682,-0.18012412245255818,1.0,0.8865477896790142,0.4794568904772985,0.5303699310913114,0.5472620514686996,0.5110700548820489,0.5058246407159763,0.6360803043031983,0.01,1.0,3168.56430975556,0
1,0.7618298863810022,-0.058449218378974335,1.0,0.794547794948615,0.5286600049771719,0.4945000688079207,0.49961591782414955,0.5638514806576792,0.4841204376192852,0.8332861147162434,0.01,1.0,2911.213189018299,1
2,0.9096319382888414,0.09411569729517452,1.0,0.6431316340219766,0.4823677178878129,0.5234753402366277,0.5529475764942011,0.5171256026897405,0.4881857989495032,0.5287638790774155,0.01,1.0,1171.5893605615754,2
3,0.8520366607010607,0.19005698648247457,1.0,0.7341822683070622,0.4593850992224065,0.49768944903305906,0.4855514528837088,0.5260275774014294,0.50931939831462,0.8311984739708975,0.01,1.0,2142.495187069927,3
4,0.8896725958246663,-0.11010855781272587,1.0,0.7545631677904823,0.4752305421460788,0.5378123942973138,0.5021631519666959,0.5433037826805347,0.4752566504105394,0.6796866125130391,0.01,1.0,2323.035181186307,4
5,1.3194961200415518,-0.4482167733811045,1.0,0.34156709735540325,0.4835695320321111,0.45442950640178825,0.44434788347545134,0.5028414611385438,0.46971146478485204,0.5452204259236815,0.01,1.0,-1145.5143336233398,5
6,1.0720304247832109,-0.2930900327373429,1.0,0.488920349698589,0.4707931465426318,0.4977216471948252,0.5011056843506252,0.497294551985523,0.5065972312695001,0.6810970488631366,0.01,1.0,189.2806802016774,6
7,0.719947556016781,0.29364041448810013,1.0,0.7319118056754403,0.5013513925722615,0.5119982313642277,0.5248658522378894,0.5124837824991323,0.5371639314270837,0.7773672728386963,0.01,1.0,1538.0580296574274,7
8,0.719210014722961,-0.3071724904792772,1.0,0.7946290030740941,0.49388453343482763,0.5672986423760676,0.5716432808148938,0.5146169571726316,0.5614216814585757,0.5018329501196834,0.01,1.0,2537.9780353397095,8
9,0.5586941323814171,0.08378171554843797,1.0,1.1860443662277382,0.5022941311324646,0.4966736968660022,0.5054893919027764,0.43771105372484126,0.5000780984683231,0.8187401260469442,0.01,1.0,4394.266527271262,9
10,1.1895295053892723,-0.36095541361298117,1.0,0.4931213915581041,0.5068105997382776,0.5132854345763641,0.49628908441887554,0.5357660069457527,0.5153608421283222,0.5212226098547547,0.01,1.0,36.954922861585615,10
11,0.7493948990130661,-0.20683558462092427,1.0,0.8217850280635168,0.4634371628738827,0.48997298038180687,0.508636782334348,0.5002784477298297,0.48674176893722576,0.6997266135881712,0.01,1.0,2664.4710935152607,11
12,0.4656070713631978,0.18080161778363124,1.0,0.8400049208203582,0.4953242683125141,0.4780869058925906,0.5150172370734758,0.5263662612123778,0.4691852451092546,0.5236231188253988,0.01,1.0,3166.981418631592,12
13,0.578036661659482,0.22850110187110217,1.0,0.9076326204538685,0.47900094639572277,0.4661028101225605,0.4276493679601806,0.4610903761614321,0.4604990174920329,0.44751476417720903,0.01,1.0,3339.6876002023514,13
14,0.6730109684643277,0.07829714471995444,1.0,0.7461957911967949,0.4557162004392312,0.4752954179406464,0.4989187772686825,0.5095476316188219,0.4984318840537735,0.513803284343234,0.01,1.0,2300.5359153571076,14
15,0.5436700276966718,0.06691362804477234,1.0,1.052321666865599,0.484254382450492,0.5386829325653676,0.49427363819740644,0.5126633162686759,0.5394316516547174,0.842085492085567,0.01,1.0,3796.7750130948243,15
16,0.907937192456312,0.2886173296834048,1.0,0.8322424922820788,0.5248975657036543,0.4927431640223687,0.42483522287212966,0.5116446243598965,0.48882588533512006,0.7839147273904244,0.01,1.0,2153.932567361385,16
17,0.7922053174120091,-0.1715365026864998,1.0,0.8205499797518483,0.5166522676837807,0.48749509164465976,0.5144329752388752,0.5545407226490542,0.5207544620498343,0.5417332484141184,0.01,1.0,2411.6732729191926,17
18,0.6485895808035783,0.3879443706525776,1.0,0.8481338592598573,0.5733475460924284,0.5519383315684709,0.5250920223275792,0.5186490727030314,0.5124712557477922,0.5947114101471049,0.01,1.0,2687.519028122975,18
19,0.6570415124186768,-0.6515100127002003,1.0,1.025877421712548,0.543543104775366,0.5154468540410029,0.5469258881148964,0.5675963859872171,0.5469230870272274,1.2116832678231433,0.01,1.0,3342.2268885966746,19
20,0.5186416496555083,-0.7742637221204437,1.0,0.8040331990390293,0.5741849373144771,0.5481278730857099,0.58274701645897,0.6033554974206189,0.5770618779286183,0.7898823450451152,0.01,1.0,2723.76233329175,20
21,0.9091479982605076,-0.03545269856776614,1.0,0.9055429503346974,0.5173321452440309,0.47652458459639635,0.5286209000939015,0.5546886698445193,0.5987210574055751,0.8654152870787865,0.01,1.0,1836.005140825636,21
22,0.8673166306976485,-0.4038065429759913,1.0,0.9307579974540949,0.5001391265606678,0.5093495428851945,0.515301849861371,0.4886995874472687,0.5965387454258074,0.8896940107039586,0.01,1.0,2597.301828752514,22
23,0.9528591754829258,-0.15830552907542575,1.0,0.5505758940957144,0.5273885527277599,0.5767214479038808,0.5881924117175668,0.5456278676065436,0.5381222353648759,0.5201012728217024,0.01,1.0,565.8308068669661,23
