,subj_idx,variable,value,bin
0,0,v,1.22700516027827,
1,1,v,0.8748439546084441,
2,2,v,4.641256246375221,
3,3,v,1.0393619834719046,
4,4,v,0.6674503858715091,
5,5,v,4.059009431797407,
6,6,v,4.860884704972297,
7,7,v,1.0187460104059929,
8,8,v,5.0,
9,9,v,0.957392627944738,
10,10,v,4.979897799181337,
11,11,v,0.6725781744911643,
12,12,v,0.6586924008300116,
13,13,v,0.7563978636963397,
14,14,v,0.6614470202502052,
15,0,b,0.06107986918730823,0
16,1,b,0.14129900238446957,0
17,2,b,0.5741213948787893,0
18,3,b,0.25449872401091744,0
19,4,b,0.1727453432750492,0
20,5,b,-0.10539801522876967,0
21,6,b,0.041398517503667374,0
22,7,b,0.6431289846621069,0
23,8,b,0.025773503217628495,0
24,9,b,0.3151554719559213,0
25,10,b,0.17088270035042874,0
26,11,b,0.08282879231481854,0
27,12,b,1.681100668035453,0
28,13,b,0.979928446807316,0
29,14,b,0.5364936835229872,0
30,0,b,0.2998495214965624,1
31,1,b,0.13080942801103612,1
32,2,b,0.6593079377711342,1
33,3,b,0.020978935938086737,1
34,4,b,0.059697244411685,1
35,5,b,-0.04246390896987143,1
36,6,b,0.014549479581219207,1
37,7,b,0.690707765112405,1
38,8,b,-0.052524636007795264,1
39,9,b,-0.019559367118065496,1
40,10,b,0.46425691358155996,1
41,11,b,0.012123062959310538,1
42,12,b,1.5776346213391577,1
43,13,b,0.6148609788689149,1
44,14,b,0.36544767516744625,1
45,0,b,0.2488969474566438,2
46,1,b,0.5425236174955494,2
47,2,b,0.6093674171782781,2
48,3,b,0.10771207350151588,2
49,4,b,0.14963738562074114,2
50,5,b,0.15737517367153586,2
51,6,b,0.14831144660304763,2
52,7,b,0.7381613247421837,2
53,8,b,-0.04862196287171104,2
54,9,b,0.3092902654733576,2
55,10,b,1.005468774592968,2
56,11,b,0.19915469390709206,2
57,12,b,0.8514464949588839,2
58,13,b,0.7735307011581954,2
59,14,b,0.6878657321382375,2
60,0,noise,1.0,
61,1,noise,1.0,
62,2,noise,1.0,
63,3,noise,1.0,
64,4,noise,1.0,
65,5,noise,1.0,
66,6,noise,1.0,
67,7,noise,1.0,
68,8,noise,1.0,
69,9,noise,1.0,
70,10,noise,1.0,
71,11,noise,1.0,
72,12,noise,1.0,
73,13,noise,1.0,
74,14,noise,1.0,
75,0,a,2.8940773029780966,
76,1,a,1.7788380657275478,
77,2,a,4.88280900263214,
78,3,a,1.6399999409598192,
79,4,a,2.504488068323037,
80,5,a,5.0,
81,6,a,4.8349279488234576,
82,7,a,1.569691978419516,
83,8,a,4.9949998327933525,
84,9,a,2.4135011465753626,
85,10,a,3.2268766730199454,
86,11,a,1.923003066917163,
87,12,a,2.34999998166007,
