,subj_idx,variable,value,bin
0,0,v,4.958482019613587,
1,1,v,0.7206617110055094,
2,2,v,0.7889594522275905,
3,3,v,1.3842245500790369,
4,4,v,1.069969923827936,
5,5,v,0.7579284472228092,
6,6,v,0.9847786164072926,
7,7,v,1.0303888751948096,
8,8,v,0.977053480310657,
9,9,v,1.0248258548001334,
10,10,v,0.9870899247009121,
11,11,v,0.6650109921870612,
12,12,v,0.2532969256707138,
13,13,v,1.3505211697442303,
14,14,v,0.4896276476792538,
15,0,b,1.7731237486459162,0
16,1,b,-0.2876131357013634,0
17,2,b,-0.11674746970250102,0
18,3,b,-0.709821092624256,0
19,4,b,0.03829647177045703,0
20,5,b,0.12968874955004095,0
21,6,b,-0.7244151605958585,0
22,7,b,-0.3677573539098983,0
23,8,b,-1.0617924845334472,0
24,9,b,-0.7100153746486477,0
25,10,b,0.15039343369823246,0
26,11,b,-1.3914995083997113,0
27,12,b,-0.8201254505230801,0
28,13,b,-0.20443498671457727,0
29,14,b,-0.3645885799109739,0
30,0,b,1.5406234845376616,1
31,1,b,-0.10791078374433993,1
32,2,b,-0.17434835585214487,1
33,3,b,-0.42011131889753717,1
34,4,b,0.006852879717897942,1
35,5,b,0.20988728389479738,1
36,6,b,-0.6803588773024497,1
37,7,b,-0.60112509768799,1
38,8,b,-0.7921600052054619,1
39,9,b,-0.5849092743210501,1
40,10,b,0.03316822544795008,1
41,11,b,-1.6746222697120052,1
42,12,b,-0.3774776466530897,1
43,13,b,-0.4036067709297092,1
44,14,b,-0.5968664046435014,1
45,0,b,1.449218928551016,2
46,1,b,-0.34580991140070516,2
47,2,b,-0.19660533165778316,2
48,3,b,-0.4186777818630459,2
49,4,b,0.19445663245143185,2
50,5,b,0.10486321492809036,2
51,6,b,-0.30465763665144363,2
52,7,b,-0.25599286286151823,2
53,8,b,-0.5463469461704287,2
54,9,b,-0.4175880820595617,2
55,10,b,-0.1157849011954572,2
56,11,b,-1.4549222078242667,2
57,12,b,-0.5640903989345157,2
58,13,b,-0.2967889009295799,2
59,14,b,-0.10817026779103221,2
60,0,noise,1.0,
61,1,noise,1.0,
62,2,noise,1.0,
63,3,noise,1.0,
64,4,noise,1.0,
65,5,noise,1.0,
66,6,noise,1.0,
67,7,noise,1.0,
68,8,noise,1.0,
69,9,noise,1.0,
70,10,noise,1.0,
71,11,noise,1.0,
72,12,noise,1.0,
73,13,noise,1.0,
74,14,noise,1.0,
75,0,a,4.035431747136933,
76,1,a,2.1928429091828665,
77,2,a,1.9379999020321508,
78,3,a,2.713999893351849,
79,4,a,2.0967462536836754,
80,5,a,2.65909024081967,
81,6,a,2.363999987290724,
82,7,a,1.9131683703023268,
83,8,a,1.8359999850450823,
84,9,a,3.0399996314910838,
85,10,a,2.0599999804430174,
86,11,a,2.2379998813069335,
87,12,a,1.9649999374822436,
88,13,a,1.7627808010044435,
89,14,a,1.4749999742987234,
90,0,u,16.034513187173854,
91,1,u,0.2665942370227441,
92,2,u,0.42271057262770967,
93,3,u,0.3076974051849815,
94,4,u,0.7369855225956705,
95,5,u,0.4704007125249188,
96,6,u,0.30387089006853,
97,7,u,0.2643332657558748,
98,8,u,0.4377512470954579,
99,9,u,0.37230117766837534,
100,10,u,0.47028841808399474,
101,11,u,0.27602162967238364,
102,12,u,0.25543242799901716,
103,13,u,0.19825491137375728,
104,14,u,1.4273527596812183,
105,0,z,0.3232430156782433,
106,1,z,0.46725227522531676,
107,2,z,0.4637809308063703,
108,3,z,0.5830464727096918,
109,4,z,0.48597177022081395,
110,5,z,0.4162718075431024,
111,6,z,0.5246353013809226,
112,7,z,0.5046728121568166,
113,8,z,0.6060124798345752,
114,9,z,0.5397197548437725,
115,10,z,0.4598050395838792,
116,11,z,0.5619807602582795,
117,12,z,0.49319131802467253,
118,13,z,0.5178195283568618,
119,14,z,0.3839930905267297,
120,0,t,0.6638331050577208,
121,1,t,0.7036514386594284,
122,2,t,0.6822990691136698,
123,3,t,1.1618257406593198,
124,4,t,0.7277128955502207,
