,subj_idx,variable,value,bin
0,0,v,1.1737029302311686,0
1,1,v,0.9752282167386428,0
2,2,v,0.8367051024018872,0
3,3,v,4.517700178644577,0
4,4,v,1.391537428841637,0
5,5,v,0.8109267195850416,0
6,6,v,1.1364076676268,0
7,7,v,1.040048303942005,0
8,8,v,0.8531525267434548,0
9,9,v,0.9342114039977008,0
10,10,v,1.4746220907551573,0
11,11,v,0.7227789726761062,0
12,12,v,0.28531330267410837,0
13,13,v,1.3565431709484177,0
14,14,v,0.2781894078906526,0
15,0,v,3.506097431749337,1
16,1,v,0.6970052454634885,1
17,2,v,0.8473090846305005,1
18,3,v,4.0315159055552146,1
19,4,v,0.8199397845048768,1
20,5,v,0.9255809796905334,1
21,6,v,0.9654520994770722,1
22,7,v,0.8851842655465898,1
23,8,v,0.9098686803348166,1
24,9,v,2.7508497095355313,1
25,10,v,0.7746937764507225,1
26,11,v,0.6103241541872025,1
27,12,v,0.253978036169344,1
28,13,v,1.3356600621250698,1
29,14,v,0.6009773507879044,1
30,0,v,4.09709685711859,2
31,1,v,0.6561382777872984,2
32,2,v,0.7794556938259771,2
33,3,v,1.8333446319518591,2
34,4,v,0.995058632501145,2
35,5,v,0.8835795136702551,2
36,6,v,0.9422165698944558,2
37,7,v,1.3549222003794281,2
38,8,v,0.9587990479974056,2
39,9,v,1.251363958363118,2
40,10,v,0.960598246499238,2
41,11,v,0.7287211463320427,2
42,12,v,0.22019510729375513,2
43,13,v,1.4202083852050882,2
44,14,v,0.4629829219101045,2
45,0,b,-1.0504592323855622,0
46,1,b,-0.20507181803820884,0
47,2,b,-0.030590710455092873,0
48,3,b,0.42341586146847543,0
49,4,b,0.0697228853425147,0
50,5,b,0.10035061711796689,0
51,6,b,-0.8991686901409124,0
52,7,b,-0.6609395000179002,0
53,8,b,-1.1242314967247669,0
54,9,b,-1.0973669265977133,0
55,10,b,0.14326690961598443,0
56,11,b,-1.465937524676262,0
57,12,b,-0.7680870424419828,0
58,13,b,-0.34004862631513033,0
59,14,b,-0.7050538747713264,0
60,0,b,1.2508078974533532,1
61,1,b,-0.09821524073901078,1
62,2,b,-0.3795240913398146,1
63,3,b,0.6859459362135293,1
64,4,b,-0.0051663873487628464,1
65,5,b,-0.060158693099623406,1
66,6,b,-0.4298592341965765,1
67,7,b,-0.614859989092777,1
68,8,b,-0.8243721182644553,1
69,9,b,0.5966811063914712,1
70,10,b,0.1480329640595579,1
71,11,b,-1.7416600826953597,1
72,12,b,-0.07804460183417072,1
73,13,b,-0.4079105137223099,1
74,14,b,-0.26313585227969005,1
75,0,b,2.750633138551446,2
76,1,b,-0.05582917230272211,2
77,2,b,-0.5212595222605076,2
78,3,b,-0.2872587613744368,2
79,4,b,-0.03507579871808664,2
80,5,b,0.32324608485551076,2
81,6,b,-0.4699085079046211,2
82,7,b,0.2947814193697196,2
83,8,b,-0.6392481713335629,2
84,9,b,-0.02721147061578473,2
85,10,b,0.1633387351206217,2
86,11,b,-1.2328908343428562,2
87,12,b,-0.5114581945821822,2
88,13,b,-0.022761158830073014,2
89,14,b,-0.30425601251934,2
90,0,noise,1.0,
91,1,noise,1.0,
92,2,noise,1.0,
93,3,noise,1.0,
94,4,noise,1.0,
95,5,noise,1.0,
96,6,noise,1.0,
97,7,noise,1.0,
98,8,noise,1.0,
99,9,noise,1.0,
100,10,noise,1.0,
101,11,noise,1.0,
102,12,noise,1.0,
103,13,noise,1.0,
104,14,noise,1.0,
105,0,a,1.553974469639099,0
106,1,a,1.5141889024077275,0
107,2,a,1.732163369958077,0
108,3,a,4.591253057060832,0
109,4,a,2.7209266330109565,0
110,5,a,1.8470631135434132,0
111,6,a,2.17289302975672,0
112,7,a,1.8337568940917262,0
113,8,a,2.068189253761687,0
114,9,a,1.8628440427414046,0
115,10,a,1.2360063906099827,0
116,11,a,2.3408414072378747,0
117,12,a,1.1969716261804486,0
118,13,a,1.440104879776204,0
119,14,a,1.44171968791454,0
120,0,a,4.33698285260126,1
121,1,a,1.6233167390901613,1
122,2,a,1.541290339509538,1
123,3,a,2.7482043071500977,1
124,4,a,2.4377949979563995,1
125,5,a,1.860597374382447,1
126,6,a,1.8049999668680294,1
127,7,a,1.5465792441713444,1
128,8,a,1.8397865037760097,1
129,9,a,4.950877544924293,1
130,10,a,2.098395945591211,1
131,11,a,1.801717987812433,1
132,12,a,1.2980547129027151,1
133,13,a,1.6818057101689186,1
134,14,a,1.3515542332267145,1
135,0,a,4.893529155488232,2
136,1,a,1.5095873398868143,2
137,2,a,1.9070800135389847,2
138,3,a,0.9069998559237186,2
139,4,a,2.0658177989452517,2
140,5,a,2.5161887727857737,2
141,6,a,2.050698972004314,2
142,7,a,1.3650544462780887,2
143,8,a,2.3110870755594655,2
144,9,a,1.7039998732017396,2
145,10,a,1.6165104646177368,2
146,11,a,1.7459999491413356,2
147,12,a,1.5427069043574284,2
148,13,a,1.6846140583978149,2
149,14,a,1.2550517868779942,2
150,0,u,1.205436780432665,
151,1,u,0.37685747091751587,
152,2,u,0.5388202482746021,
153,3,u,7.857683987955375,
154,4,u,0.7116078161469463,
155,5,u,0.6786971278173013,
156,6,u,0.3996392394363954,
157,7,u,0.3513059451537792,
158,8,u,0.4134636626379784,
159,9,u,0.9038980429842186,
160,10,u,0.4921001690349698,
161,11,u,0.3561983555161755,
162,12,u,0.40979248540018887,
163,13,u,0.2234620977590307,
164,14,u,1.6471641010534306,
165,0,z,0.5869505136281363,0
166,1,z,0.43738196539601826,0
167,2,z,0.44815346415059676,0
168,3,z,0.4904469989355845,0
169,4,z,0.5058304665334545,0
170,5,z,0.42674302404048037,0
171,6,z,0.5322016674321417,0
172,7,z,0.5273409294510559,0
173,8,z,0.5955867546034541,0
174,9,z,0.6376214107034637,0
175,10,z,0.463681284142785,0
176,11,z,0.5440566796982308,0
177,12,z,0.486567055580577,0
178,13,z,0.5285680736466657,0
179,14,z,0.44916603164634183,0
180,0,z,0.36891298426548996,1
181,1,z,0.44512321716208697,1
182,2,z,0.4893162572585081,1
183,3,z,0.492813898050143,1
184,4,z,0.48891899327010563,1
185,5,z,0.4298701237722797,1
186,6,z,0.49847791604344566,1
187,7,z,0.5183268127137856,1
188,8,z,0.5985090847089141,1
189,9,z,0.4496708610502635,1
190,10,z,0.4340751376006444,1
191,11,z,0.5860904555524447,1
192,12,z,0.4434674408928009,1
193,13,z,0.519153888865235,1
194,14,z,0.31038602386438696,1
195,0,z,0.26748247280034754,2
196,1,z,0.41373352856719603,2
197,2,z,0.5055116934569173,2
198,3,z,0.6486991281876041,2
199,4,z,0.5299214151538976,2
200,5,z,0.37688418320948214,2
201,6,z,0.5540701691527439,2
202,7,z,0.45431333355097037,2
203,8,z,0.618538519746084,2
204,9,z,0.4736949185121666,2
205,10,z,0.42062301285995474,2
206,11,z,0.55301082749818,2
207,12,z,0.47414094516757294,2
208,13,z,0.49510278691351406,2
209,14,z,0.41606917959661155,2
210,0,t,0.876099533048052,0
211,1,t,0.8433716364346713,0
212,2,t,0.6952459476149869,0
213,3,t,0.8182922020168045,0
214,4,t,0.7002497269080334,0
215,5,t,1.1458073279055954,0
216,6,t,1.0778748469459238,0
217,7,t,1.3385630914931834,0
218,8,t,1.0690556093126233,0
219,9,t,0.9121437607859817,0
220,10,t,0.8798683124811879,0
221,11,t,0.7918994351535396,0
222,12,t,0.5088663008105399,0
223,13,t,0.8049485522398148,0
224,14,t,0.4554485934639344,0
225,0,t,0.6819119106148924,1
226,1,t,0.7438960761704212,1
227,2,t,0.7246117668572711,1
228,3,t,1.0696141487140356,1
229,4,t,0.6192329442844979,1
230,5,t,1.093447249370557,1
231,6,t,1.0508818704333467,1
232,7,t,1.3467597896022718,1
233,8,t,1.0968197356018838,1
234,9,t,0.7358006223777608,1
235,10,t,0.48541130835884205,1
236,11,t,0.821754741376293,1
237,12,t,0.49735628388556763,1
238,13,t,0.7508599546433006,1
239,14,t,0.492468747298461,1
240,0,t,0.6537030572211185,2
241,1,t,0.7337547660462188,2
242,2,t,0.6355828921725332,2
243,3,t,1.3454835793252133,2
244,4,t,0.7520363426782022,2
245,5,t,0.8137900618369538,2
246,6,t,1.0195209002508032,2
247,7,t,1.3961899211616957,2
248,8,t,0.9640823296171149,2
249,9,t,1.012225496943151,2
250,10,t,0.5711371160293898,2
251,11,t,0.8270777267086485,2
252,12,t,0.4717023459679146,2
253,13,t,0.721676989595486,2
254,14,t,0.44005466186183173,2
255,0,pmixturecoef,0.01,
256,1,pmixturecoef,0.01,
257,2,pmixturecoef,0.01,
258,3,pmixturecoef,0.01,
259,4,pmixturecoef,0.01,
260,5,pmixturecoef,0.01,
261,6,pmixturecoef,0.01,
262,7,pmixturecoef,0.01,
263,8,pmixturecoef,0.01,
264,9,pmixturecoef,0.01,
265,10,pmixturecoef,0.01,
266,11,pmixturecoef,0.01,
267,12,pmixturecoef,0.01,
268,13,pmixturecoef,0.01,
269,14,pmixturecoef,0.01,
270,0,rate,1.0,
271,1,rate,1.0,
272,2,rate,1.0,
273,3,rate,1.0,
274,4,rate,1.0,
275,5,rate,1.0,
276,6,rate,1.0,
277,7,rate,1.0,
278,8,rate,1.0,
279,9,rate,1.0,
280,10,rate,1.0,
281,11,rate,1.0,
282,12,rate,1.0,
283,13,rate,1.0,
284,14,rate,1.0,
285,0,bic,243.37497362318615,
286,1,bic,314.50542631203973,
287,2,bic,539.9467858691556,
288,3,bic,472.95014009542365,
