,subj_idx,variable,value,bin
0,0,v,1.4914714500894555,
1,1,v,1.0358281225412205,
2,2,v,4.850982707494848,
3,3,v,1.1152845050020614,
4,4,v,0.7866196504115311,
5,5,v,1.133808906200073,
6,6,v,1.4324793139656373,
7,7,v,1.3793988504316694,
8,8,v,2.0483434131733516,
9,9,v,1.1083555103504759,
10,10,v,1.5335642788723673,
11,11,v,0.8084179855761043,
12,12,v,0.8009898616584736,
13,13,v,0.8814066782400884,
14,14,v,0.716664215488678,
15,0,b,0.10664836705595412,0
16,1,b,0.37871464623378037,0
17,2,b,0.8921282596337905,0
18,3,b,0.6066936405424802,0
19,4,b,-0.049900463686522345,0
20,5,b,0.09352915265543711,0
21,6,b,0.6465752650670257,0
22,7,b,0.28402468794067914,0
23,8,b,0.7751630500681372,0
24,9,b,0.7578446412498574,0
25,10,b,1.2946128011703393,0
26,11,b,0.3951939685368704,0
27,12,b,1.8177204443679729,0
28,13,b,1.2987560712257624,0
29,14,b,0.4873537291826162,0
30,0,b,0.5051289658010493,1
31,1,b,0.37492478598946566,1
32,2,b,0.6724002953708801,1
33,3,b,0.18422854293559388,1
34,4,b,0.2603507642906327,1
35,5,b,0.7835171597555967,1
36,6,b,-0.20877832597920573,1
37,7,b,0.615204828489877,1
38,8,b,0.1979390308449143,1
39,9,b,0.29975185979270547,1
40,10,b,1.4561403506971915,1
41,11,b,0.34883979669837056,1
42,12,b,1.8706637979803686,1
43,13,b,0.37508481528531,1
44,14,b,0.6226802832554104,1
45,0,b,-0.034005397581293756,2
46,1,b,0.325922733328635,2
47,2,b,0.4488666337918228,2
48,3,b,0.17059753611383263,2
49,4,b,0.44426816548897907,2
50,5,b,0.3994959203996098,2
51,6,b,0.08223958507659038,2
52,7,b,0.8267999533672982,2
53,8,b,0.07951760041173804,2
54,9,b,0.58585096322155,2
55,10,b,1.3300612385663135,2
56,11,b,0.40153295356527724,2
57,12,b,1.129852727379403,2
58,13,b,0.8326022106195572,2
59,14,b,0.8812666720688779,2
60,0,noise,1.0,
61,1,noise,1.0,
62,2,noise,1.0,
63,3,noise,1.0,
64,4,noise,1.0,
65,5,noise,1.0,
66,6,noise,1.0,
67,7,noise,1.0,
68,8,noise,1.0,
69,9,noise,1.0,
70,10,noise,1.0,
71,11,noise,1.0,
72,12,noise,1.0,
73,13,noise,1.0,
74,14,noise,1.0,
75,0,a,0.8482458717928811,
76,1,a,0.8315857607654982,
77,2,a,4.988738700337832,
78,3,a,0.7742787587608004,
79,4,a,0.8325674907702842,
80,5,a,0.9276468941833969,
81,6,a,0.8545755385143194,
82,7,a,0.5705474024804069,
83,8,a,0.8184579422248068,
84,9,a,0.762874407920408,
85,10,a,0.7775231812633172,
86,11,a,0.8160075022108211,
87,12,a,0.7426618736682098,
88,13,a,0.643626570755153,
89,14,a,0.9684535768833966,
90,0,z,0.5016267197544025,0
91,1,z,0.49231698348774916,0
92,2,z,0.4090366202852635,0
93,3,z,0.5254805128359012,0
94,4,z,0.6271537699678016,0
95,5,z,0.52605102856558,0
96,6,z,0.4227103055708007,0
97,7,z,0.4689323516571832,0
98,8,z,0.4529613836070303,0
99,9,z,0.4979813803548337,0
100,10,z,0.3783805205646406,0
101,11,z,0.534040515265868,0
102,12,z,0.46521215438591135,0
103,13,z,0.4029435881140155,0
104,14,z,0.6082528791969011,0
105,0,z,0.4379144799255789,1
106,1,z,0.47047049709613714,1
107,2,z,0.44243197455202216,1
108,3,z,0.5593079903048128,1
109,4,z,0.4698627361227305,1
110,5,z,0.3943235926683435,1
111,6,z,0.5919895132984355,1
112,7,z,0.41977138776824385,1
113,8,z,0.49686924517352005,1
114,9,z,0.5041096563855382,1
115,10,z,0.3780480928246125,1
116,11,z,0.5320640687119865,1
117,12,z,0.46035513040025444,1
118,13,z,0.507982022938486,1
119,14,z,0.54106902912705,1
120,0,z,0.5584847851611832,2
121,1,z,0.593436918021601,2
122,2,z,0.4535131384630139,2
123,3,z,0.5932543095748127,2
124,4,z,0.4196928483856096,2
125,5,z,0.5113140327124854,2
126,6,z,0.524067740257649,2
127,7,z,0.3629031414574055,2
128,8,z,0.5527081541111499,2
129,9,z,0.5287136625390276,2
130,10,z,0.4430373697910411,2
131,11,z,0.5486722870996011,2
132,12,z,0.43685718789503075,2
133,13,z,0.44448482734211275,2
134,14,z,0.5227251541743984,2
135,0,t,1.262566691510276,
136,1,t,0.8359595451818832,
137,2,t,0.33558696496997864,
138,3,t,1.2284617029078517,
139,4,t,0.935159096402384,
140,5,t,1.3272547280949303,
141,6,t,1.1013204761498345,
142,7,t,1.5063673798532793,
143,8,t,1.2374088641332488,
144,9,t,1.184392370725667,
145,10,t,0.8323671038923325,
146,11,t,0.8235082354670847,
147,12,t,0.6601415149571562,
148,13,t,0.9353905735946801,
149,14,t,0.5185661693065153,
150,0,pmixturecoef,0.01,
151,1,pmixturecoef,0.01,
152,2,pmixturecoef,0.01,
153,3,pmixturecoef,0.01,
154,4,pmixturecoef,0.01,
155,5,pmixturecoef,0.01,
156,6,pmixturecoef,0.01,
157,7,pmixturecoef,0.01,
158,8,pmixturecoef,0.01,
159,9,pmixturecoef,0.01,
160,10,pmixturecoef,0.01,
161,11,pmixturecoef,0.01,
162,12,pmixturecoef,0.01,
163,13,pmixturecoef,0.01,
164,14,pmixturecoef,0.01,
165,0,rate,1.0,
166,1,rate,1.0,
167,2,rate,1.0,
168,3,rate,1.0,
169,4,rate,1.0,
170,5,rate,1.0,
171,6,rate,1.0,
172,7,rate,1.0,
173,8,rate,1.0,
174,9,rate,1.0,
175,10,rate,1.0,
176,11,rate,1.0,
177,12,rate,1.0,
178,13,rate,1.0,
179,14,rate,1.0,
180,0,bic,478.4126918155546,
181,1,bic,554.3933375116112,
182,2,bic,460.78187996614656,
183,3,bic,569.4312279301373,
184,4,bic,966.5797328206762,
