,v,b0.0,b0.1,b0.2,b1.0,b1.1,b1.2,noise,a,u,z0,z1,t,pmixturecoef,rate,bic,subj_idx
0,1.2099222947511963,0.2910819007647978,0.49889280971182826,0.4561127341542665,0.06637465694190516,0.14980434917099977,0.006674196381832535,1.0,2.9469999440928554,0.39964783030003237,0.4430998284703341,0.4160788016892165,0.831423030334754,0.01,1.0,816.1073250210222,0
1,0.7895344513666458,0.06397166210425853,0.06627421098543085,0.2660795945604233,-0.15912881331686501,0.1086225061997037,-0.25224726359828253,1.0,1.7296910251851616,0.4321351558044686,0.540430724621941,0.42481682298238543,0.7395019597381585,0.01,1.0,764.5784253777696,1
2,1.009553882367946,0.41553338408697593,0.3970586543504838,0.39407697445328627,0.007849578969732197,-0.05247680440200234,-0.062378177382930396,1.0,1.7659999900749097,0.5223602593810528,0.4453932262092389,0.43992739235628836,0.7315284547090187,0.01,1.0,838.2497313240594,2
3,1.1042739920785054,0.1082519415198508,-0.16886901791105433,-0.1886442952883795,-0.5847460972084159,-0.28245887885581017,-0.3434769304963384,1.0,1.6709999339577621,0.7287151786424089,0.634056550262497,0.5950933347893125,1.1263209311489564,0.01,1.0,808.1712679257699,3
4,0.801313317898401,0.15632857399519834,-0.11570942606938374,-0.028736669621166788,0.024165254923376418,0.00047869346879309287,0.14888658782596834,1.0,2.9099999874411058,0.46069285691335066,0.5312155832649874,0.48509133945844896,0.6284140481880277,0.01,1.0,1440.867212142352,4
5,0.8981499501330938,0.31627413234639157,0.38876011696393,0.5165081290300989,0.2322986834061056,0.3803783627391255,0.2048644436718175,1.0,2.3589999078843387,0.5226431110921567,0.4733506563006023,0.38964939436030627,1.0764710786660572,0.01,1.0,1624.7162970296165,5
6,1.0616171170344186,0.37152920314611126,0.13822555853590587,0.22772181550798026,-0.8221903048250047,-0.6868964641480204,-0.35437882825300293,1.0,2.0319999915482385,0.38275590321357844,0.5093963610114316,0.5475434534376368,1.0147729431496821,0.01,1.0,784.3438038328268,6
7,1.0404245898781532,0.7656754918547063,0.6899894103246379,0.8099201379524078,-0.32622909399753275,-0.48241375664447594,-0.13820077599030153,1.0,1.921999964880174,0.2258524612154182,0.4316433137470473,0.5052112099230999,1.3408487636849766,0.01,1.0,252.62516975764922,7
8,1.288507047654519,0.5154620136956956,0.231447345834781,0.24634495727324346,-0.9118353279877361,-0.7711074152542063,-0.5058665898149106,1.0,1.8718741693089593,0.3651530041017068,0.5048961141517987,0.6087625107286166,1.1157519288758457,0.01,1.0,317.4543024627276,8
9,0.9662198292949531,0.287834297471843,-0.006189225997088237,0.2915575282409937,-0.6779458655975094,-0.5466847636028471,-0.40185650701426,1.0,2.3869999696645476,0.3803865849725313,0.5485507768279398,0.5417541334629394,0.9834600575771727,0.01,1.0,762.5993003537532,9
10,1.127395098692019,1.288990086632259,1.503979206151712,1.642647158488334,0.31648545468358047,0.3220561046119297,0.11759642064476106,1.0,2.157506138822243,0.37094812948362943,0.3909440101162648,0.4296578077939786,0.627707881693503,0.01,1.0,572.7059839534794,10
11,0.6640211837920698,0.03837645230410159,0.031235055343295428,0.1403389545740367,-1.294997047897054,-1.6731302278627191,-1.345382721108423,1.0,1.9629999955690278,0.43025198622491584,0.5776068434046993,0.5841926790711551,0.7497669701610544,0.01,1.0,784.7118030661148,11
12,0.410985875374557,1.9570115759068107,1.818604861071168,1.2606127166689174,-0.45392990105550035,0.02849621489510512,-0.07070088948146258,1.0,1.909814384602228,0.29620876157936316,0.3969760757639975,0.43815717593057585,0.4811160314215299,0.01,1.0,490.38139335677215,12
13,0.9640917782699605,0.773707544889174,0.5460439003363058,0.6303881079224191,-0.5373742889560414,-0.596782475510353,-0.6113875934856516,1.0,1.8739999992022351,0.213607989280756,0.4503740647431634,0.517407950857564,0.7625773820486326,0.01,1.0,253.54713715498173,13
14,0.5593338381710646,0.5347801478309033,0.3057972527879057,0.5182229462547269,-0.15767499581541652,-0.49662070572454353,0.038785149146991375,1.0,1.4959999635556767,1.246122435330576,0.5960960988856265,0.35344625638508387,0.46114340456755465,0.01,1.0,1300.2050756764622,14
