,v,b0,b1,noise,a,z0.0,z0.1,z0.2,z1.0,z1.1,z1.2,t,pmixturecoef,rate,bic,subj_idx
0,4.842504291806312,0.7322958550500757,1.8269812141693293,1.0,4.324364030229276,0.4083648848948362,0.4252647959639634,0.4204988630987564,0.2855346653649591,0.28943054862763345,0.25723908312947585,0.6770284371040629,0.01,1.0,1130.237589511821,0
1,0.9753770024300832,0.2517475422824381,-0.403638207326016,1.0,0.7973624454637005,0.5165561078649299,0.531765672492215,0.5900935462555436,0.4826335993120571,0.47873724536801404,0.42320748934356067,0.8221040051769725,0.01,1.0,1008.3531562277346,1
2,1.2695420552031356,0.45195496945331987,-0.22760099849089818,1.0,0.8872138271941985,0.41818602749253975,0.3823401466487605,0.41357386723112444,0.4412477917715961,0.4732622821698173,0.45555377584595774,0.8384319846639566,0.01,1.0,1065.975374521944,2
3,1.311333698332381,0.09112664676622964,-0.40479600551650735,1.0,0.9140460252601312,0.6092883977820717,0.6198093764760154,0.6467297845973495,0.6022617672628228,0.6137212450140143,0.6741700514121801,1.2199195528266191,0.01,1.0,1037.8721665404512,3
4,1.014080515918651,0.16925892457825348,-0.06312148825593795,1.0,0.919024257925616,0.5582076612887985,0.4873728234158491,0.49983232405315686,0.5341200389944429,0.42775314488559746,0.5731549754913491,0.9149904797022799,0.01,1.0,1701.1548114178463,4
5,1.0972056376277586,0.45509851957617753,-0.03598794661060147,1.0,0.9968052050270448,0.39529467475905433,0.4726748799027795,0.44250835780334963,0.48224287124804294,0.40328526459917197,0.31212782099470404,1.2173116272023499,0.01,1.0,1941.750951667949,5
6,1.390143888236404,0.22810856078240738,-0.5630897684490638,1.0,0.8228280158390853,0.5167032645370246,0.5045316853381271,0.5410108510168538,0.5817932427268377,0.5497388155622047,0.6031438226122013,1.1469453375702485,0.01,1.0,987.9794813902919,6
7,1.2899746421189677,0.7042668052603014,-0.41062463375658986,1.0,0.6584976569474545,0.40248683115661543,0.3821590270960534,0.4011461987449247,0.5106098521652925,0.49936311622657775,0.5319692133231664,1.462079352295205,0.01,1.0,502.2853038964846,7
8,1.5870145108866844,0.4253797073571198,-0.5390714045966871,1.0,0.794868883781934,0.5015901403387826,0.49864342293782815,0.5079822992795436,0.5895548257423082,0.6321646575752249,0.6397962049038557,1.230557425688087,0.01,1.0,530.9492374946725,8
9,1.2148372354121069,0.4954753532621649,-0.5852158004012001,1.0,0.8783657225605823,0.5323823038892009,0.5199425081959393,0.5377321923959856,0.5380958613228166,0.5840137757546852,0.5902810782838022,1.1532086677413294,0.01,1.0,999.2200089076267,9
10,1.3650210519200057,1.4380196918885961,0.01860979642763094,1.0,0.8900150343301103,0.2894675624855899,0.3142135356017499,0.3966228906802567,0.5116427654473297,0.4194702039403564,0.3870682905672647,0.7390267462227723,0.01,1.0,808.6148676418259,10
11,0.8060197282922785,0.30036513444125273,-1.5953047272981122,1.0,0.8012453658986038,0.5547798751600005,0.5676077210553339,0.6036789971849371,0.6280991983678762,0.619187855216635,0.6397827301067397,0.8826001692429287,0.01,1.0,1029.2393143189934,11
12,0.56127508280574,1.4886622978693584,-0.31601476995574806,1.0,0.6708207820146619,0.46812854849044827,0.4351571085895478,0.36122401982731456,0.38332780272829836,0.42539064532023896,0.4198137688171414,0.6469051677175516,0.01,1.0,748.5319040514646,12
13,1.146709630883098,0.5740606052573443,-0.6786306198715263,1.0,0.6512337907129937,0.4346600003683279,0.4593782044857716,0.44716847563109247,0.5474935817382043,0.5409319464572547,0.5280690793840946,0.8681768641089515,0.01,1.0,481.0819679201851,13
14,0.6695376253438345,0.699504750404909,-0.42282381563574,1.0,0.908988027111123,0.575124975278617,0.48616437499644116,0.5281502332331668,0.48003968442422784,0.34906969436303736,0.4328214951435001,0.5171739279144658,0.01,1.0,1392.849691095701,14
