,subj_idx,variable,value,bin
0,0,v,0.4486741663831859,
1,1,v,0.7142483535885569,
2,2,v,0.924342293030145,
3,3,v,0.7389686013121554,
4,4,v,0.780773637997854,
5,5,v,1.2495130288720049,
6,6,v,0.9022943723670596,
7,7,v,0.6910242909369089,
8,8,v,0.7938649221871582,
9,9,v,0.5358497616161939,
10,10,v,1.228253512304983,
11,11,v,0.6757485554640177,
12,12,v,0.4078470964642351,
13,13,v,0.572425507956404,
14,14,v,0.7064673469768126,
15,15,v,0.5151063291785417,
16,16,v,0.7831295112829694,
17,17,v,0.757798835739296,
18,18,v,0.5957457887190778,
19,19,v,0.5297210502598856,
20,20,v,0.4881826476611253,
21,21,v,0.8160393011276623,
22,22,v,0.7776320768221705,
23,23,v,0.986212943011308,
24,0,b,-0.13341736809936,0
25,1,b,0.11722053079520234,0
26,2,b,0.016560646124261613,0
27,3,b,0.007021172294403284,0
28,4,b,-0.19287675587985442,0
29,5,b,-0.866332653728159,0
30,6,b,-0.5726446276483854,0
31,7,b,0.029551476285835165,0
32,8,b,-0.3916052804724835,0
33,9,b,0.21352217915296068,0
34,10,b,-0.3485762436895684,0
35,11,b,-0.22313050946690116,0
36,12,b,0.14454257703174989,0
37,13,b,0.38089348216097996,0
38,14,b,-0.07952698239074017,0
39,15,b,0.1227013676023052,0
40,16,b,0.217097304043979,0
41,17,b,-0.2563605559253543,0
42,18,b,0.29343090055317655,0
43,19,b,-0.7090537985412648,0
44,20,b,-0.8519589817011713,0
45,21,b,-0.25040537352477465,0
46,22,b,-0.45818234834042065,0
47,23,b,-0.3151968285019313,0
48,0,b,-0.17434273749882212,1
49,1,b,0.007962992627008614,1
50,2,b,0.14114407741795892,1
51,3,b,0.06595300293268581,1
52,4,b,-0.025495638659735476,1
53,5,b,0.004586991766457604,1
54,6,b,-0.3299055907395737,1
55,7,b,0.12702359597149918,1
56,8,b,-0.2787164763195152,1
57,9,b,0.40832778201129516,1
58,10,b,-0.3376944203752946,1
59,11,b,-0.38091883245089053,1
60,12,b,0.26004515703109465,1
61,13,b,0.03939371742639475,1
62,14,b,0.039287595838440575,1
63,15,b,0.11973879683735077,1
64,16,b,0.15106713926665666,1
65,17,b,-0.3617645455664755,1
66,18,b,0.46876312450435664,1
67,19,b,-0.5728253157135849,1
68,20,b,-0.7055688972871473,1
69,21,b,-0.06442122790044469,1
70,22,b,-0.28625116070361467,1
71,23,b,-0.17748056335758064,1
72,0,b,-0.012252758961702748,2
73,1,b,0.060022698323159984,2
74,2,b,0.12690445748876295,2
75,3,b,0.23115847342498666,2
76,4,b,-0.19119729719627332,2
77,5,b,-0.8245743889736651,2
78,6,b,-0.23098601630524018,2
79,7,b,0.2141550593223888,2
80,8,b,-0.2724865816110279,2
81,9,b,0.26992540962618605,2
82,10,b,-0.5096369785507576,2
83,11,b,-0.2193020157362885,2
84,12,b,0.25422428166782196,2
85,13,b,0.2384237589438465,2
86,14,b,0.05351307341560549,2
87,15,b,0.14580180138022092,2
88,16,b,0.034976926325022493,2
89,17,b,-0.19391897733508193,2
90,18,b,0.18652284454892865,2
91,19,b,-0.5771933200854029,2
92,20,b,-0.7333698071520535,2
93,21,b,-0.07149948970553321,2
94,22,b,-0.378844351303346,2
95,23,b,-0.1006530747144232,2
96,0,b,-0.11567630259667783,3
97,1,b,0.13275579432848628,3
98,2,b,-0.024421881585458764,3
