,subj_idx,variable,value,bin
0,0,v,5.0,
1,1,v,1.0074861663495793,
2,2,v,0.9712987577215205,
3,3,v,1.6931325223823515,
4,4,v,1.263331930447196,
5,5,v,1.037680772403669,
6,6,v,1.1853783177430586,
7,7,v,1.3321056082135756,
8,8,v,1.2750013720610736,
9,9,v,1.2437160545569788,
10,10,v,1.2497902726857428,
11,11,v,0.8096279364867729,
12,12,v,0.3281509223511128,
13,13,v,1.6831170088453342,
14,14,v,0.570245324944098,
15,0,b,1.4839749185617437,
16,1,b,-0.3523797073938001,
17,2,b,-0.3634323331044151,
18,3,b,-0.3806524752958067,
19,4,b,0.030547568269867677,
20,5,b,-0.08464479443733242,
21,6,b,-0.6062623298313753,
22,7,b,-0.47942896745584107,
23,8,b,-0.6659403770389773,
24,9,b,-0.5851620267938413,
25,10,b,-0.14984438193955327,
26,11,b,-1.67012121847363,
27,12,b,-0.5730910462965115,
28,13,b,-0.37783954475937787,
29,14,b,-0.48754781597704194,
30,0,noise,1.0,
31,1,noise,1.0,
32,2,noise,1.0,
33,3,noise,1.0,
34,4,noise,1.0,
35,5,noise,1.0,
36,6,noise,1.0,
37,7,noise,1.0,
38,8,noise,1.0,
39,9,noise,1.0,
40,10,noise,1.0,
41,11,noise,1.0,
42,12,noise,1.0,
43,13,noise,1.0,
44,14,noise,1.0,
45,0,a,3.73402914576958,
46,1,a,0.6493594201093673,
47,2,a,0.8284599980847851,
48,3,a,0.8768436707144751,
49,4,a,1.0040583035478732,
50,5,a,0.9890233047786672,
51,6,a,0.8190153098464006,
52,7,a,0.704694214066828,
53,8,a,0.7738250758250429,
54,9,a,0.9959232875946042,
55,10,a,0.9231546364230845,
56,11,a,0.8043624080075191,
57,12,a,0.6511019007661767,
58,13,a,0.5951911208180061,
59,14,a,0.9326658540235868,
60,0,z,0.3505436909922083,0
61,1,z,0.446227687502934,0
62,2,z,0.4880062526253656,0
63,3,z,0.6173477233158641,0
64,4,z,0.5105918092329271,0
65,5,z,0.46737568571606797,0
66,6,z,0.5416965774476081,0
67,7,z,0.5558228007696101,0
68,8,z,0.5891811374451469,0
69,9,z,0.5672880621463526,0
70,10,z,0.5432861431114687,0
71,11,z,0.6193037290118815,0
72,12,z,0.44787234575805407,0
73,13,z,0.5604441049747015,0
74,14,z,0.45050407033273976,0
75,0,z,0.3276142637050202,1
76,1,z,0.4684262860778081,1
77,2,z,0.5147445367396781,1
78,3,z,0.6389743798751621,1
79,4,z,0.4718369673713858,1
80,5,z,0.45124641073146976,1
81,6,z,0.5206655852534342,1
82,7,z,0.4935195318329958,1
83,8,z,0.6053607820682875,1
84,9,z,0.5830731126628499,1
85,10,z,0.47302544882862574,1
86,11,z,0.5727450833757244,1
87,12,z,0.48993072583090364,1
88,13,z,0.5450816716681811,1
89,14,z,0.3535865457765116,1
90,0,z,0.30242912612070527,2
91,1,z,0.4377820683181404,2
92,2,z,0.48304656251415135,2
93,3,z,0.6457465098394647,2
94,4,z,0.5305790589220417,2
95,5,z,0.3738319256892948,2
96,6,z,0.5635178790261539,2
97,7,z,0.5160194489043557,2
98,8,z,0.6273115062793506,2
99,9,z,0.5676983196026485,2
100,10,z,0.4292370173250782,2
101,11,z,0.6140193099478237,2
102,12,z,0.4775793431373352,2
103,13,z,0.5315593501955962,2
104,14,z,0.4272915287353775,2
105,0,t,0.6913417244384767,
106,1,t,0.9135342370992378,
107,2,t,0.7802735332751788,
108,3,t,1.3311401248463817,
109,4,t,0.9079136658042476,
110,5,t,1.174714680443399,
111,6,t,1.1779484242615872,
112,7,t,1.4624244277990435,
113,8,t,1.265733458359822,
114,9,t,1.0715867226099265,
115,10,t,0.6732077456693487,
116,11,t,0.9286698359850488,
117,12,t,0.5858937330308647,
118,13,t,0.8606394147058177,
119,14,t,0.5102410041487656,
120,0,pmixturecoef,0.01,
121,1,pmixturecoef,0.01,
122,2,pmixturecoef,0.01,
123,3,pmixturecoef,0.01,
124,4,pmixturecoef,0.01,
125,5,pmixturecoef,0.01,
126,6,pmixturecoef,0.01,
127,7,pmixturecoef,0.01,
128,8,pmixturecoef,0.01,
129,9,pmixturecoef,0.01,
130,10,pmixturecoef,0.01,
131,11,pmixturecoef,0.01,
132,12,pmixturecoef,0.01,
133,13,pmixturecoef,0.01,
134,14,pmixturecoef,0.01,
135,0,rate,1.0,
136,1,rate,1.0,
137,2,rate,1.0,
138,3,rate,1.0,
139,4,rate,1.0,
140,5,rate,1.0,
141,6,rate,1.0,
142,7,rate,1.0,
143,8,rate,1.0,
144,9,rate,1.0,
145,10,rate,1.0,
146,11,rate,1.0,
147,12,rate,1.0,
148,13,rate,1.0,
149,14,rate,1.0,
150,0,bic,319.82543005104907,
151,1,bic,439.56040624517817,
152,2,bic,608.4903586168576,
153,3,bic,381.0907271841156,
154,4,bic,725.9253709015259,
155,5,bic,737.8945986592322,
156,6,bic,483.0406094134349,
157,7,bic,318.16580066258865,
158,8,bic,511.82046715195463,
159,9,bic,563.2754989293833,
160,10,bic,618.4485520246209,
161,11,bic,308.7142228915218,
162,12,bic,508.93531285489223,
163,13,bic,35.35088439637377,
164,14,bic,753.7950878392666,
