,subj_idx,variable,value,bin
0,0,v,1.225855874641671,
1,1,v,0.8766363258751345,
2,2,v,1.300587943310988,
3,3,v,0.8886793815091487,
4,4,v,0.6429282915781827,
5,5,v,0.961137438987347,
6,6,v,1.163786520179806,
7,7,v,1.011543656506907,
8,8,v,1.646824354888087,
9,9,v,0.8817518503938329,
10,10,v,1.246778545416688,
11,11,v,0.6176259442321128,
12,12,v,0.6364134509329444,
13,13,v,0.7277920318072502,
14,14,v,0.6200392002956033,
15,0,b,0.21467233393557353,0
16,1,b,0.011621899046821847,0
17,2,b,0.403648271573737,0
18,3,b,0.4450469123744225,0
19,4,b,-0.008228843431335009,0
20,5,b,0.23240428078812325,0
21,6,b,0.4956387710646135,0
22,7,b,0.5304474050612484,0
23,8,b,0.7607215120299349,0
24,9,b,0.7163298030322607,0
25,10,b,1.3829026453078308,0
26,11,b,0.4469025600354992,0
27,12,b,1.5445969460465336,0
28,13,b,1.219533234613599,0
29,14,b,0.27848515982998134,0
30,0,b,0.3067289910427138,1
31,1,b,0.18727266852964872,1
32,2,b,0.2368586897171957,1
33,3,b,-0.1273420697060126,1
34,4,b,0.3858323646202534,1
35,5,b,0.6730955862894528,1
36,6,b,-0.2361677307838119,1
37,7,b,0.7348830473493184,1
38,8,b,0.12018224613363215,1
39,9,b,-0.09381466506286296,1
40,10,b,1.4174029880836414,1
41,11,b,0.1816612249720062,1
42,12,b,1.6093844864678342,1
43,13,b,0.16464921445856873,1
44,14,b,0.3187081485756465,1
45,0,b,0.10527622089933644,2
46,1,b,0.24081240061350523,2
47,2,b,0.3721915494855234,2
48,3,b,-0.2081254448407162,2
49,4,b,0.33243704943347085,2
50,5,b,0.48849446088152226,2
51,6,b,0.05645012242243251,2
52,7,b,0.611207719780108,2
53,8,b,0.0042742642843141,2
54,9,b,0.20670983891004968,2
55,10,b,1.169280563435613,2
56,11,b,0.17185634559179652,2
57,12,b,1.0200060126041721,2
58,13,b,0.8844566275220311,2
59,14,b,0.6198848091848532,2
60,0,noise,1.0,
61,1,noise,1.0,
62,2,noise,1.0,
63,3,noise,1.0,
64,4,noise,1.0,
65,5,noise,1.0,
66,6,noise,1.0,
67,7,noise,1.0,
68,8,noise,1.0,
69,9,noise,1.0,
70,10,noise,1.0,
71,11,noise,1.0,
72,12,noise,1.0,
73,13,noise,1.0,
74,14,noise,1.0,
75,0,a,2.9019999894279596,
76,1,a,1.8459999863669825,
77,2,a,1.8089999816453686,
78,3,a,2.2469999372934275,
79,4,a,2.7589999405112184,
80,5,a,2.2337167235916446,
81,6,a,1.5739998353691849,
82,7,a,1.7477310537625206,
83,8,a,1.874640631848367,
84,9,a,2.1818811184293008,
85,10,a,2.24495717605192,
86,11,a,1.9753980887102662,
87,12,a,2.7382216600335116,
88,13,a,1.6872688613956728,
89,14,a,1.5719999737648394,
90,0,u,0.27456070400945604,
91,1,u,0.47690323753236036,
92,2,u,0.5960591405243897,
93,3,u,0.3924260010469205,
94,4,u,0.4486016267416562,
95,5,u,0.5034004714721085,
96,6,u,0.6406040640374603,
97,7,u,0.20365681716078043,
98,8,u,0.30512143166531125,
99,9,u,0.30559554004594247,
100,10,u,0.2523125136155553,
101,11,u,0.4203556717952477,
102,12,u,0.19114085372828526,
103,13,u,0.2203402547754525,
104,14,u,1.199728730959027,
105,0,z,0.4846580737852197,0
106,1,z,0.5456859743236316,0
107,2,z,0.4480867173262649,0
108,3,z,0.5394201198405654,0
109,4,z,0.5645203607295219,0
110,5,z,0.47535246079475024,0
111,6,z,0.46823404370727906,0
112,7,z,0.4449874740618099,0
113,8,z,0.4792780834214559,0
114,9,z,0.4886374846361875,0
115,10,z,0.41029730220633137,0
116,11,z,0.5203256796500109,0
117,12,z,0.48316299992944256,0
118,13,z,0.4451872217006848,0
119,14,z,0.6456079372846649,0
120,0,z,0.48733105234830015,1
121,1,z,0.5074383230707487,1
122,2,z,0.4769582278641838,1
123,3,z,0.5827337596301734,1
124,4,z,0.4604869417896961,1
125,5,z,0.45113569530754455,1
126,6,z,0.5778896141193202,1
127,7,z,0.43418911182732145,1
128,8,z,0.5162371185315414,1
129,9,z,0.5588198787329127,1
130,10,z,0.4256078840438553,1
131,11,z,0.5538924811909375,1
132,12,z,0.4820924305432992,1
133,13,z,0.5182878750742439,1
134,14,z,0.6078089119257342,1
135,0,z,0.5133206865454191,2
136,1,z,0.5667545241548464,2
137,2,z,0.4476603189991605,2
138,3,z,0.5950321918082643,2
139,4,z,0.47897855060196476,2
140,5,z,0.49071442475467947,2
141,6,z,0.5346054691431349,2
142,7,z,0.45038289451082614,2
143,8,z,0.5385571330642615,2
144,9,z,0.549925760285661,2
145,10,z,0.472129470825245,2
146,11,z,0.5694413805557966,2
147,12,z,0.4671936563561386,2
148,13,z,0.4658789616334071,2
149,14,z,0.5823202663017261,2
150,0,t,1.0797672097077722,
151,1,t,0.7235759270780702,
152,2,t,0.7779672815139038,
153,3,t,1.0380763615735014,
154,4,t,0.6264612899328678,
155,5,t,1.1401908400259617,
156,6,t,1.0052975399286974,
157,7,t,1.3690556306901513,
158,8,t,1.151846043416608,
159,9,t,1.039809820340226,
160,10,t,0.7176727043027857,
161,11,t,0.7053676514689823,
162,12,t,0.5293058661500761,
163,13,t,0.8581620932054566,
164,14,t,0.4561889568872044,
165,0,pmixturecoef,0.01,
166,1,pmixturecoef,0.01,
167,2,pmixturecoef,0.01,
168,3,pmixturecoef,0.01,
169,4,pmixturecoef,0.01,
170,5,pmixturecoef,0.01,
171,6,pmixturecoef,0.01,
172,7,pmixturecoef,0.01,
173,8,pmixturecoef,0.01,
174,9,pmixturecoef,0.01,
175,10,pmixturecoef,0.01,
176,11,pmixturecoef,0.01,
177,12,pmixturecoef,0.01,
178,13,pmixturecoef,0.01,
179,14,pmixturecoef,0.01,
180,0,rate,1.0,
181,1,rate,1.0,
182,2,rate,1.0,
183,3,rate,1.0,
184,4,rate,1.0,
185,5,rate,1.0,
186,6,rate,1.0,
187,7,rate,1.0,
188,8,rate,1.0,
189,9,rate,1.0,
190,10,rate,1.0,
191,11,rate,1.0,
192,12,rate,1.0,
193,13,rate,1.0,
194,14,rate,1.0,
195,0,bic,343.8533966426056,
196,1,bic,466.2557335632321,
197,2,bic,323.9029391619503,
198,3,bic,440.4290760801882,
199,4,bic,805.6403176388462,
200,5,bic,933.1700851022058,
201,6,bic,411.2536427892127,
202,7,bic,73.88730319543878,
203,8,bic,-106.47605733383179,
204,9,bic,289.5559929364449,
205,10,bic,15.501616057701739,
206,11,bic,561.5864303554206,
207,12,bic,54.97013552332317,
208,13,bic,165.53208791614614,
209,14,bic,604.8770690498404,
