,v,b0.0,b0.1,b0.2,b1.0,b1.1,b1.2,noise,a,z0,z1,t,pmixturecoef,rate,bic,subj_idx
0,1.4889824263470284,0.09916670469467939,0.24963579680782794,0.19764456219692178,-0.5297740241692382,-0.22585268037177353,-0.28222156110633434,1.0,1.03178347486667,0.45075106539248005,0.41784593628800765,1.027218725301165,0.01,1.0,1109.1987993494186,0
1,0.976842446762572,0.3548369408269297,0.27671787232857553,0.6343151481705127,-0.6030604409022485,-0.3230960753007968,-0.5401199408401921,1.0,0.8019280071516965,0.49285655244226995,0.4860328607527358,0.8184188565592899,0.01,1.0,1007.5132952619316,1
2,1.300561639933366,0.445594477574201,0.38727091397954494,0.3944305399880334,-0.13197708206689876,-0.2804426412833549,-0.25008079006717276,1.0,0.8435059148505362,0.42209357794611085,0.4562360453580399,0.8757849934743389,0.01,1.0,1062.235400726914,2
3,1.3021259770078355,0.39414666542171833,0.051920251152542715,0.14519954571605995,-0.5040654179123206,-0.17720958027985553,-0.2562844662649277,1.0,0.9103715267013768,0.5964011230483747,0.6067801080318344,1.2098061175490764,0.01,1.0,1026.0661558339002,3
4,1.0451088651485536,0.31833526693479286,0.10457867358556983,0.1445990222824822,-0.14366488862643248,-0.08722876662432044,0.09697174777515191,1.0,0.9536082234684602,0.513289163850642,0.504434131785148,0.9166471644580645,0.01,1.0,1703.511176134269,4
5,1.108235339194082,0.3411731367696084,0.5407694968416418,0.6138240386057092,0.027047529711291412,0.11024160275073006,-0.026497676813732766,1.0,1.0292858377291372,0.42492490037208563,0.37922960874168765,1.191427823880128,0.01,1.0,1937.888745174981,5
6,1.285091958258278,0.39311295011663155,0.12312723725874428,0.21071370931776673,-0.717595505577958,-0.6853652850518965,-0.2523782249985733,1.0,0.8262745511120473,0.5084032539618533,0.5551947636222392,1.1382898051114183,0.01,1.0,978.6054043111377,6
7,1.3173372826409058,0.569904336400653,0.575455812288984,0.6571369801815976,-0.5058916713791967,-0.635455449935396,-0.2865563867954339,1.0,0.6698454342336866,0.42053360393458006,0.5306944087963058,1.466750764438154,0.01,1.0,500.304438432486,7
8,1.5893115594414449,0.6477179249008902,0.27002522062894857,0.29486850901579986,-0.7154041129197268,-0.43871290918954114,-0.2182611175382953,1.0,0.7837539363712791,0.5121146208825543,0.5960426732416189,1.2473712032862578,0.01,1.0,521.3339278209593,8
9,1.1872653376473106,0.6980819416284114,0.2679525339688708,0.6384220907252786,-0.8666033811911507,-0.6956846830045756,-0.4515376822698057,1.0,0.8666100848528488,0.5206378833899136,0.5960244796456101,1.1522823580322263,0.01,1.0,989.1386791130769,9
10,1.3855904838156141,1.2930859731295203,1.399414205759117,1.5163648653862116,0.1842120994856927,0.11819883064877341,-0.014426913866382824,1.0,0.8866248708880005,0.3499480215834348,0.4186733890733575,0.7434254176835027,0.01,1.0,819.7080389021884,10
11,0.8431666823495184,0.2725942311373372,0.2096053093510035,0.3198743553533143,-1.5798608912322716,-1.8590158903375533,-1.5806172565545313,1.0,0.8550265190561359,0.5896116729224157,0.6309665382112662,0.8750233986222983,0.01,1.0,1031.6202658977377,11
12,0.5601742466274467,1.938897532386288,1.9292643550627675,1.2338313690129685,-0.7853291117118651,-0.1788962681316299,-0.31916746878941404,1.0,0.7084471855266687,0.3628758145284886,0.4299140283829974,0.6159518160587665,0.01,1.0,727.117341605971,12
13,1.1505624353578965,0.8334149307027868,0.4755866282837024,0.6117145499184793,-0.7463708285193118,-0.7544389064907122,-0.7569356834853157,1.0,0.657963373885911,0.42992870093958846,0.5515391193919903,0.8647593723003715,0.01,1.0,476.39316577450614,13
14,0.6264751650358915,0.6550616392048916,0.5921671689136935,0.7820814165684438,-0.47145179799857956,-0.6158995297648072,-0.16894881575926657,1.0,0.9409225380005095,0.5521601209838217,0.38706732509092223,0.5188297684373625,0.01,1.0,1389.9817765206155,14
