,v,b0,b1,b2,b3,b4,noise,a,z0,z1,z2,z3,z4,t,pmixturecoef,rate,bic,subj_idx
0,0.5260439462421145,-0.049835640314143,-0.1590845708679406,-0.08634196756923825,-0.20742635628996825,-0.09746356687748281,1.0,0.8717928904634324,0.45309125018662594,0.5100504185235064,0.5179499623538039,0.515286567531823,0.47095787937474176,0.6370928383971461,0.01,1.0,3203.1734637570594,0
1,0.7814978078541672,-0.10263359280576989,-0.11548477628086368,0.1111590245696662,0.1608145598732708,-0.1847107297164936,1.0,0.8409407727199889,0.5328544742367384,0.5241152638373215,0.4624840402341815,0.49162765760833194,0.49796338753548053,0.8112139996297152,0.01,1.0,2930.8304245292566,1
2,0.9252682657419954,0.08262986839604398,0.14390788515153552,0.006895071293684771,-0.2135077803464392,0.0302686315860605,1.0,0.6551987737844118,0.4993033067402554,0.5205884568317397,0.5459732575059099,0.568466372278204,0.5410372859168613,0.5271317094992028,0.01,1.0,1199.0010836515057,2
3,0.8337184519646043,0.08856611681328952,0.000152608922040462,0.4043277131728761,0.21084454132509176,0.07369960263153276,1.0,0.7298340456083405,0.49422340405860576,0.5249525751240972,0.46816559040756306,0.4880467039063109,0.5493167440953185,0.8234118447287445,0.01,1.0,2168.1333167693697,3
4,0.8916168379545438,0.005529644749124128,-0.15813551811312057,-0.15848334804450745,-0.27379839570712056,-0.006821135336084065,1.0,0.7742391001941653,0.46998909582262943,0.5209205298871746,0.5157023562613787,0.5514482317571814,0.4849602184576427,0.6601877862542105,0.01,1.0,2348.4183016806865,4
5,1.3231996412267983,-0.9801700881848395,-0.0909763553256016,-0.44948880488291343,-0.4308722633915781,-0.36530505517012907,1.0,0.3403417386519849,0.5210831947042358,0.46500441744290794,0.4328213383388656,0.4830285996597044,0.46592955723338975,0.5454705056910091,0.01,1.0,-1122.4776261540856,5
6,1.078765329059817,-0.6067501022675191,-0.45729959244746676,-0.21929661352151236,0.17499583610393316,-0.35197686392014393,1.0,0.4892274140585515,0.48996833510849375,0.5130183745651187,0.48824539477585116,0.457254719943577,0.5196593938199078,0.6825812679031146,0.01,1.0,207.54482402735374,6
7,0.726158548632125,-0.005351493979798837,0.26665673104611914,0.5066663497059697,-0.2337783189814341,0.5050297437920364,1.0,0.7530557193004981,0.5757121151772001,0.5377618914161788,0.49613801403499547,0.6028075068253611,0.5252219274468262,0.7763093262172606,0.01,1.0,1555.4182490749595,7
8,0.711951845690471,-0.2207727901446204,-0.23846016786008217,-0.35976261140718896,-0.4579351108692813,-0.392651830771141,1.0,0.788097160768193,0.47135334891936526,0.5396423880321145,0.5569680812203708,0.5722078421858836,0.5829813649953437,0.508658396839687,0.01,1.0,2566.936085188626,8
9,0.794895318262269,0.06679570557571578,0.2201714712313547,0.1263518837270843,0.15609937691123268,0.4423964066483612,1.0,0.8647749820212405,0.5318537099263713,0.4530918582192964,0.4702651565947552,0.45878053699251153,0.4677022168325419,1.4892486331382646,0.01,1.0,4696.126669019188,9
10,1.1738509727444115,-0.06957801638164571,-0.2150474329021016,-0.39478511161624597,-0.4175082483144214,-0.5263954149431553,1.0,0.4993277956011317,0.47900491223340746,0.4986910848108892,0.501940182857903,0.5360073120268545,0.5326849465211868,0.5258926437488995,0.01,1.0,61.841488107632344,10
