,subj_idx,variable,value,bin
0,0,v,1.4003266190082948,
1,1,v,0.7573046855317244,
2,2,v,0.7927416683074384,
3,3,v,4.883363387928375,
4,4,v,0.9876328038964799,
5,5,v,0.7703598981839637,
6,6,v,0.9065734584353065,
7,7,v,1.0256163068500932,
8,8,v,1.0128498212955017,
9,9,v,1.0753902584961372,
10,10,v,1.0010149656353522,
11,11,v,0.6693737486760968,
12,12,v,0.23496599231396642,
13,13,v,1.3678176122951018,
14,14,v,0.44285013389624334,
15,0,b,-0.35983672703596553,
16,1,b,-0.27271786130724485,
17,2,b,-0.2391159078166194,
18,3,b,0.8623480437700771,
19,4,b,0.057688633137028544,
20,5,b,0.06634972049971877,
21,6,b,-0.677098808743285,
22,7,b,-0.3024459785583093,
23,8,b,-0.740023351418749,
24,9,b,-0.5399373071612151,
25,10,b,0.03791017647820435,
26,11,b,-1.519996937053264,
27,12,b,-0.5648812064194841,
28,13,b,-0.29433597443843457,
29,14,b,-0.38658541338657615,
30,0,noise,1.0,
31,1,noise,1.0,
32,2,noise,1.0,
33,3,noise,1.0,
34,4,noise,1.0,
35,5,noise,1.0,
36,6,noise,1.0,
37,7,noise,1.0,
38,8,noise,1.0,
39,9,noise,1.0,
40,10,noise,1.0,
41,11,noise,1.0,
42,12,noise,1.0,
43,13,noise,1.0,
44,14,noise,1.0,
45,0,a,2.717999993167206,
46,1,a,1.7999999565805829,
47,2,a,2.017105674210868,
48,3,a,4.922036447134074,
49,4,a,2.4589568517630127,
50,5,a,2.354444382145567,
51,6,a,2.265651150431778,
52,7,a,1.9709998873340895,
53,8,a,1.8939999150703293,
54,9,a,2.1949993853600867,
55,10,a,2.230999925082311,
56,11,a,2.649999827019342,
57,12,a,2.0520995799324147,
58,13,a,1.5809999460039494,
59,14,a,1.6829999277061105,
60,0,u,0.44425751859709384,
61,1,u,0.34007549819104005,
62,2,u,0.4049137549981534,
63,3,u,10.25867861288701,
64,4,u,0.6355663481805767,
65,5,u,0.4683633978245201,
66,6,u,0.3298163180078788,
67,7,u,0.25053833392429653,
68,8,u,0.4121913138526024,
69,9,u,0.5644994470297465,
70,10,u,0.4271468972981151,
71,11,u,0.24396736360918272,
72,12,u,0.23736887282883856,
73,13,u,0.2242156461444788,
74,14,u,1.004582092513511,
75,0,z,0.5102537294663121,0
76,1,z,0.4738683699024699,0
77,2,z,0.4676103200863976,0
78,3,z,0.45196042364616623,0
79,4,z,0.48960747826720696,0
80,5,z,0.43140145874278013,0
81,6,z,0.5254708373829683,0
82,7,z,0.4999595205232854,0
83,8,z,0.5627129075879824,0
84,9,z,0.5294956479590669,0
85,10,z,0.4940588943957334,0
86,11,z,0.5620489610362851,0
87,12,z,0.48755032540993665,0
88,13,z,0.535300954162399,0
89,14,z,0.4417914636299385,0
90,0,z,0.4995526929203143,1
91,1,z,0.48244658879257835,1
92,2,z,0.479494957606551,1
93,3,z,0.46093997907619,1
