,Unnamed: 0,Unnamed: 0.1,response,answer_time,duration_decision,duration_delay,duration_intro,stimulus,signal_probability,trial,volume,time_stim,time_resp,subject,session,run,rt,correct,hit,fa,miss,cr,blink,pupil_stim_1s,pupil_resp_1s,subj_idx
0,0,0,0,1.7324781417846682,2.5,3.99916199752,30.0,0,30,0,0.035,3359.664,3361.415,ab,2,9,1.750999999999749,1,0,0,0,1,False,12.154578434025757,15.219774651767155,0
1,1,1,1,1.7498111724853516,2.5,3.73017302908,0.0,1,30,1,0.035,3365.163,3366.931,ab,2,9,1.7679999999995744,1,1,0,0,0,False,18.694531983450055,10.46209623824064,0
2,2,2,0,1.7160599231719968,2.5,3.91275902772,0.0,0,30,2,0.035,3370.884,3372.619,ab,2,9,1.735000000000127,1,0,0,0,1,False,24.87286434936679,12.035601904606738,0
3,3,3,0,1.6341099739074707,2.5,3.71617402119,0.0,0,30,3,0.035,3376.366,3378.018,ab,2,9,1.6520000000000437,1,0,0,0,1,False,8.057870697893033,7.803045643438969,0
4,4,4,0,1.286167860031128,2.5,3.6833516504,0.0,0,30,4,0.035,3381.733,3383.039,ab,2,9,1.3060000000004948,1,0,0,0,1,False,-3.5270527062813546,10.383491697061046,0
5,5,5,0,1.8320701122283936,2.5,3.71737754652,0.0,0,30,5,0.035,3386.786,3388.638,ab,2,9,1.8520000000003165,1,0,0,0,1,False,9.653293974038721,12.12719557277666,0
6,6,6,1,1.5478811264038086,2.5,3.10728924815,0.0,1,30,6,0.035,3391.7870000000007,3393.3540000000007,ab,2,9,1.5670000000000073,1,1,0,0,0,False,5.275412961667242,12.290842823314284,0
7,7,7,0,2.12984299659729,2.5,3.370551786,0.0,1,30,7,0.035,3396.756,3398.909,ab,2,9,2.1530000000002474,0,0,0,1,0,False,13.099139237039576,0.0798881870154908,0
8,8,8,0,1.5677330493927002,2.5,3.20926639713,0.0,0,30,8,0.035,3402.155,3403.742,ab,2,9,1.5869999999999889,1,0,0,0,1,False,13.890676143696801,13.006487055941435,0
9,9,9,1,1.4660170078277588,2.5,3.4285942523400004,0.0,1,30,9,0.035,3407.205,3408.691,ab,2,9,1.4859999999998763,1,1,0,0,0,False,4.070622408988994,12.346959326876659,0
10,10,10,0,1.3153338432312012,2.5,3.42568754573,0.0,0,30,10,0.035,3412.159,3413.494,ab,2,9,1.3350000000000364,1,0,0,0,1,False,10.334849782106875,8.904863872313038,0
11,11,11,1,1.882676124572754,2.5,3.66620854053,0.0,1,30,11,0.035,3417.192,3419.094,ab,2,9,1.902000000000044,1,1,0,0,0,False,-0.36255633792243497,7.336625996489557,0
12,12,12,0,1.4338431358337402,2.5,3.4476928215800005,0.0,0,30,12,0.035,3422.575,3424.031,ab,2,9,1.4560000000001307,1,0,0,0,1,False,6.42533960322879,7.703938525505176,0
13,13,13,0,1.3830559253692627,2.5,3.854986276830001,0.0,0,30,13,0.035,3427.929,3429.331,ab,2,9,1.4019999999995891,1,0,0,0,1,False,5.99841670071814,0.5528285785316448,0
14,14,14,0,1.1819608211517334,2.5,3.18170948166,0.0,0,30,14,0.035,3432.546,3433.748,ab,2,9,1.2020000000002256,1,0,0,0,1,False,11.935816322040926,16.336017421780348,0
15,15,15,0,1.1352379322052002,2.5,3.02370806605,0.0,0,30,15,0.035,3436.812,3437.967,ab,2,9,1.1550000000001999,1,0,0,0,1,False,5.969351345709432,0.6153697302116914,0
16,16,16,0,1.8008708953857422,2.5,3.93195839341,0.0,0,30,16,0.035,3441.931,3443.75,ab,2,9,1.8190000000004147,1,0,0,0,1,False,9.890688783983862,12.432599993498828,0
17,17,17,0,1.5482308864593506,2.5,3.31271613393,0.0,0,30,17,0.035,3447.099,3448.666,ab,2,9,1.5669999999995523,1,0,0,0,1,False,11.237668105193489,7.630844481129506,0
18,18,18,0,1.5510029792785645,2.5,3.83914414133,0.0,0,30,18,0.035,3452.534,3454.1020000000008,ab,2,9,1.568000000000211,1,0,0,0,1,False,2.810604105320334,5.407739977668317,0
19,19,19,0,1.4484009742736816,2.5,3.3983318541900003,0.0,0,30,19,0.035,3457.534,3459.003,ab,2,9,1.4689999999995962,1,0,0,0,1,False,3.977821612907384,2.683793243747154,0
20,20,20,0,1.5376911163330078,2.5,3.89110940139,0.0,0,30,20,0.035,3462.934,3464.49,ab,2,9,1.5559999999995853,1,0,0,0,1,False,0.30500156190643224,5.616658024163968,0
21,21,21,0,1.6330080032348633,2.5,3.06563767245,0.0,0,30,21,0.035,3467.587,3469.24,ab,2,9,1.6529999999997926,1,0,0,0,1,False,9.187290780932283,11.761654512779096,0
22,22,22,0,1.7157080173492432,2.5,3.5826936759699994,0.0,0,30,22,0.035,3472.8540000000007,3474.588,ab,2,9,1.7339999999994689,1,0,0,0,1,False,4.545493006291279,6.189275145662768,0
23,23,23,0,1.9170539379119875,2.5,3.40395775709,0.0,0,30,23,0.035,3478.024000000001,3479.96,ab,2,9,1.9359999999996944,1,0,0,0,1,False,5.320484241178486,0.8716775452683275,0
24,24,24,0,2.0826640129089355,2.5,3.74340344718,0.0,0,30,24,0.035,3483.741,3485.843,ab,2,9,2.1019999999998618,1,0,0,0,1,False,14.225219683640347,12.088935568825573,0
